"class_name","class_type","weekday"
Masterkolloquium,Colloquium,"Mittwoch, Mittwoch, Mittwoch"
Masterkolloquium,Kolloquium,"Montag, Montag, Montag"
Masterseminar Grundschule,Masterseminar,"Dienstag, Donnerstag"
Masterseminare Fachdidaktik,Masterseminar,"Dienstag, Donnerstag"
Mathematik II,Übung,"Mittwoch, Mittwoch, Donnerstag, Donnerstag, Freitag, Freitag, Freitag, Freitag, Mittwoch, Mittwoch, Donnerstag, Donnerstag"
Mediazione linguistica,Übung,Dienstag
Middle English,Seminar,Dienstag
Middle English,Übung,Dienstag
Mikroökonomie II,Übung,"Montag, Montag"
Modernist Poetry,Seminar,"Dienstag, Dienstag, Dienstag, Dienstag"
Modul 09: VL Diagnostik,Vorlesung,Donnerstag
Morphologie,Vorlesung,Donnerstag
Morphology,Seminar,"Mittwoch, Mittwoch, Freitag, Freitag"
Mündlicher Ausdruck (A2),Übung,"Dienstag, Dienstag"
Non-Fiction Writing,Übung,Montag
Nordeuropa 1977,Studienprojekt,Donnerstag
Norwegisch 2,Sprachkurs,"Donnerstag, Freitag"
Oral Skills: Debating,Übung,Dienstag
Organisation(en) im Sport,Hauptseminar,"Donnerstag, Mittwoch"
Översättning av facktext,Übung,Dienstag
Oversettelse norsk,Übung,Mittwoch
Parameterized Algorithms,Vorlesung,"Dienstag, Dienstag"
Partizipatives Design,Seminar,keine Angabe
Pedagogic Grammar,Übung,"Freitag, Dienstag"
Peer-to-Peer-Systeme,Projektseminar,"Freitag, Freitag, Freitag"
Peer-to-Peer-Systeme,Übung,"Freitag, Freitag, Freitag"
Phonetics & Phonology,Seminar,Donnerstag
Pragmatics,Seminar,Mittwoch
Pragmatik im Französischen,Seminar,Mittwoch
Praxiscolloquium,Colloquium,"Montag, Samstag"
Praxiscolloquium BZQ,Colloquium,"Freitag, Freitag"
Praxiskolloquium,Colloquium,Donnerstag
Probeexamen,Klausurenkurs,"Montag, Montag, Mittwoch, Dienstag, Donnerstag, Freitag, Freitag"
Propädeutikum B1,Übung,"Donnerstag, Mittwoch, Freitag, Freitag"
Proseminare Alte Geschichte,Proseminar,"Dienstag, Montag, Dienstag"
Psycholinguistics,Seminar,Mittwoch
