"veranstid","verart","verartid","aikz","veranstnr","veranstnrint","ktxt","dtxt","ltxt","sws","semester","erwartteilnehmer","teilnehmermax","druck_vvz","zeitstempel","lehrmethoden","voraussetzung","verweise","pruefungsstoff","credits","kommentar","bemerkung","literatur","hyperlink","uebernrhythm","veranststatusid","pruefmoegl","freigabe","publish","belegpflicht","geschl","unterrsprache","praesenzzeit","art_praesenzzeit","ssz","studienjahr","kosten","externperson","externinst","evalartid","externid","fachuebergreifend_kz","curricular_kz","sichtbar","verformatid"
193234,,387,A,"5260030ÜWP          ",,,Tschechisch: Sprachkurs A2,,6.0,20221,,,J,2022-01-06 20:34:33.161,,,,,,,,,,1,4,,J,,J,,1,,,,,,,,,,,,,1
194717,,375,A,"331520220104        ",,,Fortgeschrittene Experimente im Ultrahochvakuum,,4.0,20221,,,J,2022-02-18 19:07:05.207,,,,,,,,,,1,4,,J,,J,,1,,,,,,,,,,,,J,3
194235,,113,A,"32722               ",,,"Modul 03a: SE Spezielle Störungs- und Verfahrenslehre bei Kindern, Jugendlichen und jungen Erwachsenen (Störungsspektrum A)",,2.0,20221,,,J,2022-02-21 15:05:32.118,,,,,,,,,,2,4,,J,,J,,1,,,,,,,,,,,,J,1
192558,,113,A,"54117               ",,,Umgang mit Heterogenität im Mathematikunterricht,,2.0,20221,,,J,2022-01-13 14:31:15.931,,,,,,,,,"https://moodle.hu-berlin.de/course/view.php?id=79534 (Platztauschbörse, weitere Infos s.u.)",2,4,,N,,J,,1,,,,,,,,,,,,,1
191996,,113,A,"54417               ",,,Nachbereitung des besrufsfelderschließenden Praktikums: Heterogenität in Schule und Unterricht,,2.0,20221,,,J,2022-02-08 16:24:29.690,,,,,,,,,,1,4,,N,,N,,1,,,,,,,,,,,,,1
193765,,113,A,"10775               ",,,Strafverfassungsrecht &#8211; Die Konstitutionalisierung des Straf- und Strafverfahrensrechts in der Rechtsprechung des Bundesverfassungsgerichts,,2.0,20221,,,J,2022-01-19 17:13:21.992,,,,,,,,,,,4,,N,,N,,1,,,,,,,,,,,,,1
192061,,434,A,"5519058             ",,,Lern- und Bewegungsfelder unterrichten 2 - Weitere Bewegungsfelder in der Schule (ITP),,2.0,20221,,,J,2022-01-20 14:57:28.740,,,,,,,,,,1,4,,J,,J,,1,,,,,,,,,,,,,1
191251,,113,A,"10604               ",,,Das Rechtsleben in der Reichsgerichtspraxis,,2.0,20221,,,J,2022-01-24 14:41:35.948,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110197,,4,,N,,N,,1,,,,,,,,,,,,,4
193235,,325,A,"5260079             ",,,Ungarisch: Methoden der Kulturwissenschaft,,2.0,20221,,,J,2022-01-06 20:38:17.578,,,,,,,,,,1,4,,J,,J,,1,,,,,,,,,,,,,1
192267,,329,A,"530440              ",,,"BA-, MA- und DoktorandInnen-Kolloquium Makrosoziologie",,2.0,20221,,,J,2022-02-16 10:53:04.159,,,,,,,,,,1,4,,N,,J,,1,,,,,,,,,,,,J,2
192560,,332,A,"530130              ",,,Empirische Ungleichheitsforschung (Teil 1),,4.0,20221,,,J,2022-02-16 10:58:54.252,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,J,1
191997,,388,A,"5220092             ",,,Betreutes Selbststudium,,2.0,20221,,,J,2021-12-16 11:00:46.985,,,,,,,,,,1,4,,N,,J,,1,,,,,,,,,,,,,1
194719,,375,A,"331520220105        ",,,"Kompaktkurs ""Experimentieren mit Synchrotronstrahlung - Photon School""",,1.0,20221,,,J,2022-02-18 19:07:20.387,,,,,,,,,,1,4,,J,,N,,1,,,,,,,,,,,,J,1
194236,,113,A,"32723               ",,,Modul 03b: SE Psychotherapeutische Fallkonzeption und Behandlungsplanung Über die Lebensspanne (Störungsspektrum B),,2.0,20221,,,J,2022-02-21 15:05:46.630,,,,,,,,,,2,4,,J,,J,,1,,,,,,,,,,,,J,1
191252,,236,A,"10706               ",,,Bankrecht und FinTechs,,2.0,20221,,,J,2022-01-25 09:24:35.423,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110354,,4,,N,,N,,1,,,,,,,,,,,,,4
190304,,236,A,"3313019             ",,,Angewandtes Maschinelles Lernen,,2.0,20221,,,J,2021-11-16 09:48:54.796,,,,,,,,,,,4,,N,,N,,1,,,,,,,,,,,,J,1
193256,,4,A,"5260102             ",,,Sprachenübergreifend: Literature as a Journey. A Creative Writing Seminar,,2.0,20221,,,J,2022-01-28 17:40:45.729,,,,,,,,,,1,4,,J,,J,,2,,,,,,,,,,,,,1
193238,,113,A,"5260071             ",,,"Sprachenübergreifend: Spazieren, Flanieren, Umherschweifen: Poetiken des Gehens in den slawischen Literaturen",,2.0,20221,,,J,2022-01-06 20:58:27.282,,,,,,,,,,0,4,,J,,J,,1,,,,,,,,,,,,,1
194721,,4,A,"331520220106        ",,,Surface Science: Principles and Applications,,2.0,20221,,,J,2022-02-18 19:07:28.410,,,,,,,,,,1,4,,J,,J,,1,,,,,,,,,,,,J,3
191998,,388,A,"5220093             ",,,Betreutes Selbststudium,,2.0,20221,,,J,2021-12-16 11:00:46.992,,,,,,,,,,1,4,,N,,J,,2,,,,,,,,,,,,,1
194723,,359,A,"331520220108        ",,,Journal Club Kardiovaskuläre Physik (N. Wessel),,2.0,20221,,,J,2022-02-18 19:07:43.959,,,,,,,,,,1,4,,J,,J,,1,,,,,,,,,,,,J,3
194237,,338,A,"32740Erw            ",,,Modul 04: HS Vertiefte psychotherapeutische Praxis im Erwachsenenalter,,2.0,20221,,,J,2022-02-21 15:03:58.450,,,,,,,,,,2,4,,J,,J,,1,,,,,,,,,,,,J,1
192561,,113,A,"54622               ",,,Didaktisch-methodische und diagnostische Fragestellungen im Rahmen einer Pädagogik bei Beeinträchtigungen des Lernens,,2.0,20221,,,J,2022-02-24 13:42:59.337,,,,,,,,,,1,4,,N,,J,,1,,,,,,,,,,,,,4
193193,,113,A,"53217               ",,,Vorbereitendes Seminar zu Exkursion(en) in Berlin und Umgebung,,2.0,20221,,,J,2022-01-21 11:11:47.949,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,J,1
190305,,4,A,"3313020             ",,,Angewandtes Maschinelles Lernen,,2.0,20221,,,J,2021-11-16 09:49:03.108,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,J,3
193242,,4,A,"5260017             ",,,Russisch: Kommunikationskurs II für Herkunftssprecher*innen (E-Learning-Kurs),,2.0,20221,,,J,2022-01-07 00:00:52.335,,,,,,,,,,1,4,,N,,J,,7,,,,,,,,,,,,,2
194725,,4,A,"331520220109        ",,,Computational Biosignalanalyse II - Nichtlineare Zeitreihenanalyse und Modellierung,,2.0,20221,,,J,2022-03-11 11:40:43.144,,,,,,,,,,2,4,,J,,J,,1,,,,,,,,,,,,J,3
194741,,113,A,"331520220124        ",,,Mathematik der konformen Feldtheorie,,2.0,20221,,,J,2022-02-18 19:09:55.320,,,,,,,,,http://moodle.hu-berlin.de/course/view.php?id=110141,0,4,,J,,J,,1,,,,,,,,,,,,J,3
194238,,338,A,"32740KiJu           ",,,Modul 04: HS Vertiefte psychotherapeutische Praxis im Kindes- und Jugendalter,,2.0,20221,,,J,2022-02-21 15:04:13.181,,,,,,,,,,2,4,,J,,J,,1,,,,,,,,,,,,J,1
193766,,113,A,"54271Ü              ",,,Vertiefung quantitativer Forschungsmethoden,,2.0,20221,,,J,2022-01-29 10:59:16.353,,,,,,,,,,2,4,,J,,J,,1,,,,,,,,,,,,,1
191999,,113,A,"54387               ",,,Nachbereitung des besrufsfelderschließenden Praktikums: Heterogenität in Schule und Unterricht,,2.0,20221,,,J,2022-02-08 16:26:18.499,,,,,,,,,,1,4,,N,,N,,1,,,,,,,,,,,,,1
192562,,113,A,"54610               ",,,"Vom Zusammenhang Wahrnehmung, Motorik, Sprache, Lernen und Verhalten",,2.0,20221,,,J,2022-02-24 13:38:43.460,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
193241,,4,A,"5260015             ",,,Russisch: Praktische Grammatik II für Herkunftssprecher*innen (E-Learning-Kurs),,2.0,20221,,,J,2022-01-06 23:19:14.552,,,,,,,,,,1,4,,N,,J,,7,,,,,,,,,,,,,2
194726,,236,A,"331520220112        ",,,Supersymmetry,,3.0,20221,,,J,2022-02-18 19:08:05.659,,,,,,,,,,0,4,,J,,J,,1,,,,,,,,,,,,J,3
192000,,388,A,"5220094             ",,,Betreutes Selbststudium,,2.0,20221,,,J,2021-12-16 11:00:46.998,,,,,,,,,,1,4,,N,,J,,1,,,,,,,,,,,,,1
194727,,4,A,"331520220112        ",,,Supersymmetry,,1.0,20221,,,J,2022-02-18 19:08:07.981,,,,,,,,,,0,4,,J,,J,,1,,,,,,,,,,,,J,3
191255,,4,A,"70142               ",,,Mathematik II,,2.0,20221,,,J,2021-11-24 15:15:44.232,,,,,,,,,,2,4,,N,,N,,1,,,,,,,,,,,,,1
188578,,113,A,"3314406             ",,,Seminar Stochastik,,2.0,20221,,,J,2021-08-03 14:20:27.853,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
188566,,236,A,"3314401             ",,,Lineare Algebra und Analytische Geometrie II*,,4.0,20221,,,J,2021-08-03 11:42:59.133,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
194728,,236,A,"331520220114        ",,,Astroteilchenphysik,,2.0,20221,,,J,2022-02-18 19:08:19.664,,,,,,,,,,2,4,,J,,J,,1,,,,,,,,,,,,J,3
192002,,113,A,"5220096             ",,,Rekonstruktionsmethoden,,2.0,20221,,,J,2021-12-16 11:00:47.120,,,,,,,,,,2,4,,N,,J,,1,,,,,,,,,,,,,1
194731,,359,A,"331520220117        ",,,Feldtheorie auf dem Gitter: Gem. FS mit DESY Zeuthen,,2.0,20221,,,J,2022-02-18 19:08:42.277,,,,,,,,,,1,4,,J,,N,,1,,,,,,,,,,,,J,3
194765,,236,A,"331520220140        ",,,Physik der Nanostrukturen,,2.0,20221,,,J,2022-02-18 19:13:01.433,,,,,,,,,http://moodle.hu-berlin.de/course/view.php?id=95245,1,4,,J,,J,,1,,,,,,,,,,,,J,3
194239,,338,A,"32740Leb            ",,,Modul 04: HS Vertiefte psychotherapeutische Praxis zu Neuentwicklungen über die Lebensspanne,,2.0,20221,,,J,2022-02-21 15:04:26.840,,,,,,,,,,2,4,,J,,J,,1,,,,,,,,,,,,J,1
193767,,113,A,"54004Ü              ",,,Einführung in die qualitative pädagogische Empirie (Teil 2),,2.0,20221,,,J,2022-01-25 08:30:41.491,,,,,,,,,,2,4,,J,,J,,1,,,,,,,,,,,,,1
192563,,113,A,"54615               ",,,Institutionelle Barrieren,,2.0,20221,,,J,2022-02-24 13:41:24.109,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
191256,,382,A,"54691               ",,,Allgemeine Grundlagen der Querschnittsdisziplinen (Ring-VL) Teil 2,,2.0,20221,,,J,2022-02-24 13:58:13.640,,,,,,,,,,2,4,,N,,J,,1,,,,,,,,,,,,,1
188567,,4,A,"33144011            ",,,Lineare Algebra und Analytische Geometrie II*,,2.0,20221,,,J,2021-08-03 11:47:16.768,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
190309,,375,A,"3313040             ",,,Werkzeuge der Empirischen Forschung,,2.0,20221,,,J,2021-11-16 09:55:50.435,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,J,1
193244,,4,A,"5260016             ",,,Russisch: Kommunikationskurs I für Herkunftssprecher*innen (E-Learning-Kurs),,2.0,20221,,,J,2022-01-07 00:15:43.479,,,,,,,,,,1,4,,N,,J,,7,,,,,,,,,,,,,2
194736,,359,A,"331520220120        ",,,Gemeinsames Theorieseminar DESY Zeuthen/HU Berlin (P. Uwer),,2.0,20221,,,J,2022-02-18 19:09:12.254,,,,,,,,,,1,4,,J,,N,,1,,,,,,,,,,,,J,3
194738,,236,A,"331520220122        ",,,Stochastische Thermodynamik,,2.0,20221,,,J,2022-02-18 19:09:29.538,,,,,,,,,,2,4,,J,,N,,1,,,,,,,,,,,,J,3
193768,,4,A,"9610104             ",,,Einführung in die islamische Mystik,,2.0,20221,,,J,2022-01-31 13:44:47.499,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110433,2,4,,N,,J,,1,,,,,,,,,,,,,1
193769,,4,A,"9610104ÜWP          ",,,Einführung in die islamische Mystik,,2.0,20221,,,J,2022-02-04 11:36:46.139,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110433,2,4,,N,,J,,1,,,,,,,,,,,,,1
192565,,113,A,"32724I              ",,,Modul 21: SE Aktuelle Themen der AIO: Top-down und Bottom-up Arbeitsgestaltung,,2.0,20221,,,J,2022-02-07 09:07:00.171,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110262,1,4,,J,,J,,1,,,,,,,,,,,,,3
192004,,113,A,"5220086             ",,,Jungavestisch,,2.0,20221,,,J,2021-12-16 11:06:47.152,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,J,1
192003,,113,A,"5220097             ",,,Altpreußisch,,2.0,20221,,,J,2021-12-16 11:00:47.190,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,J,1
194739,,236,A,"331520220123        ",,,Group theory for high-energy physics,,4.0,20221,,,J,2022-02-18 19:09:39.112,,,,,,,,,,2,4,,J,,J,,1,,,,,,,,,,,,J,3
188568,,236,A,"3314402             ",,,Analysis II*,,4.0,20221,,,J,2021-08-03 11:59:36.792,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
190611,,4,A,"5240312             ",,,Éléments de communication scientifique (texte et discours),,2.0,20221,,,J,2021-11-08 12:21:27.992,,,,,,,,,,0,4,,N,,J,,3,,,,,,,,,,,,,1
193246,,113,A,"5260097             ",,,"Russisch: Standardsprachen, Varietäten, Mischsprachen im ostslawischen Raum",,2.0,20221,,,J,2022-01-07 00:36:27.434,,,,,,,,,,1,4,,J,,J,,1,,,,,,,,,,,,,1
192006,,113,A,"5220083             ",,,Altenglisch,,2.0,20221,,,J,2021-12-16 11:04:57.109,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,J,1
194742,,359,A,"331520220125        ",,,"Theoretical Atomic, Molecular, and Optical Physics (A. Saenz)",,2.0,20221,,,J,2022-02-18 19:10:00.232,,,,,,,,,,1,4,,J,,N,,1,,,,,,,,,,,,J,3
191351,,421,A,"2739650             ",,,"""Grundlagen betriebswirtschaftlicher Praxis""",,3.0,20221,,,J,2022-03-04 09:57:07.635,,,,,,,,,,1,4,,J,,N,,1,,,,,,,,,,,,,4
192566,,113,A,"54604               ",,,Aus Geschichte(n) Lernen - Zur De*Konstruktion  von Lernbeeinträchtigung,,2.0,20221,,,J,2022-02-24 13:38:43.426,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
188569,,4,A,"33144021            ",,,Analysis II*,,2.0,20221,,,J,2021-08-03 12:39:22.246,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
190652,,4,A,"5240342             ",,,Ejercicios de expresión oral. Titel folgt,,2.0,20221,,,J,2021-11-08 14:55:37.916,,,,,,,,,,0,4,,N,,J,,6,,,,,,,,,,,,,1
190410,,113,A,"60509               ",,,"Theology, Theodicy, Sex, and Politics in the Work of Leonard Cohen  (HS - H 251/651/653; MEd E; MRC BM4, VM5c; V4b/V4c)",,2.0,20221,,,J,2022-02-16 09:53:06.581,,,,,,,,,,,4,,N,,N,,2,,,,,,,,,,,,J,3
194743,,236,A,"331520220126        ",,,Computerorientierte Photonik,,3.0,20221,,,J,2022-02-18 19:10:09.436,,,,,,,,,,2,4,,J,,J,,1,,,,,,,,,,,,J,3
192011,,113,A,"53601               ",,,Regionalwissenschaftliche Debatten,,2.0,20221,,,J,2022-02-23 14:30:11.490,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,3
192263,,113,A,"54758               ",,,Beratung: Grundfragen der Geragogik und tanz-/bewegungstherapeutische Interventionen,,2.0,20221,,,J,2022-02-24 14:01:35.901,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,J,1
192568,,113,A,"530222              ",,,Kritische Theorien der Technologie - Einführung in feministische und emanzipatorische Perspektiven auf Technik,,2.0,20221,,,J,2022-02-28 12:09:15.841,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,J,1
188570,,236,A,"3314403             ",,,Einführung in das wissenschaftliche Rechnen,,1.0,20221,,,J,2021-08-03 12:45:09.515,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
193691,,4,A,"5240354Ü            ",,,Grundkurs Portugiesisch (A1),,4.0,20221,,,J,2022-01-14 11:41:49.773,,,,,,,,,,0,4,,N,,J,,11,,,,,,,,,,,,,1
190313,,236,A,"60101               ",,,"Megilloth: Auslegung der Bücher Ruth, Hoheslied, Kohelet, Klagelieder und Esther GS/HS H 110/111/112/113/210/410/411, BA [V1a/c]ATmH, MEd A/DmH, MRC B1,V1f, BM1,VM1a-mH)",,4.0,20221,,,J,2022-01-24 19:08:59.575,,,,,,,,,,,4,,N,,N,,1,,,,,,,,,,,,J,1
192012,,113,A,"53694               ",,,Vietnam update,,2.0,20221,,,J,2022-01-10 15:36:23.706,,,,,,,,,,0,4,,N,,J,,9,,,,,,,,,,,,,3
192010,,113,A,"53707               ",,,Sprache der (Ohn)macht in Südostasien,,2.0,20221,,,J,2022-01-11 14:00:58.305,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,3
192008,,236,A,"53749               ",,,Theories of Globalization,,2.0,20221,,,J,2022-01-11 15:39:03.936,,,,,,,,,,0,4,,J,,J,,2,,,,,,,,,,,,,3
192009,,113,A,"53694               ",,,Vietnam update ÜWP,,2.0,20221,,,J,2022-02-01 09:42:54.526,,,,,,,,,,0,4,,N,,J,,9,,,,,,,,,,,,,3
192007,,113,A,"53707               ",,,Sprache der (Ohn)macht in Südostasein ÜWP,,2.0,20221,,,J,2022-02-01 10:02:25.666,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,3
192013,,332,A,"530132              ",,,The Urban-Rural Divide - a new cleavage? (part I),,4.0,20221,,,J,2022-02-16 11:17:12.669,,,,,,,,,,0,4,,N,,J,,2,,,,,,,,,,,,J,1
194744,,4,A,"331520220126        ",,,Computerorientierte Photonik,,1.0,20221,,,J,2022-02-18 19:10:11.853,,,,,,,,,,2,4,,J,,J,,1,,,,,,,,,,,,J,3
193257,,113,A,"532838              ",,,Die Kunst der Aktanten oder politische Ökologie als epistemische Revolution,,2.0,20221,,,J,2022-02-28 20:54:23.478,,,,,,,,,,0,4,,J,,N,,1,,,,,,,,,,,,J,1
193771,,236,A,"2112MB005VL1        ",,,Organismische Biologie: Fokus Zoologie,,2.0,20221,,,J,2022-01-21 19:08:03.124,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110111,2,4,,N,,N,,1,,,,,,,,,,,,J,2
188584,,113,A,"3314407             ",,,Seminar zur Algebra,,2.0,20221,,,J,2021-08-03 14:22:59.989,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
188571,,4,A,"33144031            ",,,Einführung in das wissenschaftliche Rechnen,,2.0,20221,,,J,2021-08-03 12:49:52.911,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
193698,,4,A,"5240358Ü            ",,,Intensivkurs: Grundkurs Rumänisch A1,,2.0,20221,,,J,2022-01-14 11:52:30.229,,,,,,,,,,0,4,,N,,J,,24,,,,,,,,,,,,,1
193695,,4,A,"5240359Ü            ",,,Grundkurs: Grammatik und sprachpraktische Übungen A 2,,2.0,20221,,,J,2022-01-14 11:48:29.353,,,,,,,,,,0,4,,N,,J,,24,,,,,,,,,,,,,1
193772,,236,A,"2112MB005VL2        ",,,Organismische Biologie: Fokus Botanik,,2.0,20221,,,J,2022-01-21 19:08:11.411,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110111,2,4,,N,,N,,1,,,,,,,,,,,,J,2
194746,,359,A,"331520220128        ",,,Seminar zur Numerik der Maxwell-Gleichungen (K. Busch),,2.0,20221,,,J,2022-02-18 19:10:34.162,,,,,,,,,,1,4,,J,,J,,1,,,,,,,,,,,,J,3
194775,,236,A,"331520220158        ",,,Wissenschaftliches Rechnen: Computational Physics III,,1.0,20221,,,J,2022-03-10 08:55:13.968,,,,,,,,,,2,4,,J,,J,,1,,,,,,,,,,,,J,3
193258,,113,A,"532868              ",,,Der Leib als Aneigner:in  von Kultur und Wissen,,2.0,20221,,,J,2022-02-28 21:08:07.747,,,,,,,,,,0,4,,N,,N,,1,,,,,,,,,,,,J,1
188572,,236,A,"3314404             ",,,Stochastik I,,4.0,20221,,,J,2021-08-03 13:57:42.523,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
193696,,4,A,"5240361Ü            ",,,Bilaterales Übersetzen A2 / B1,,2.0,20221,,,J,2022-01-14 11:49:26.202,,,,,,,,,,0,4,,N,,J,,24,,,,,,,,,,,,,1
191262,,4,A,"60608               ",,,"Religion, Agency, the Feminist Subject, and Secularism - Lektürekurs zu Saba Mahmood (H 460,571; MRC-V2b,V3a, VM1d, VM4b, VM5d)",,2.0,20221,,,J,2022-02-16 13:53:54.871,,,,,,,,,,,4,,J,,N,,1,,,,,,,,,,,,J,1
192014,,113,A,"53601               ",,,Regionalwissenschaftliche Debatten ÜWP,,2.0,20221,,,J,2022-02-01 10:04:22.371,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,3
192576,,113,A,"530223              ",,,Kausale Inferenz in der Politikwissenschaft,,2.0,20221,,,J,2022-02-16 11:00:56.791,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194747,,236,A,"331520220129        ",,,"BioPH1, Physik 1 Mechanik (BBIo)",,2.0,20221,,,J,2022-02-18 19:10:43.870,,,,,,,,,http://moodle.hu-berlin.de/course/view.php?id=99021,2,4,,J,,J,,1,,,,,,,,,,,,J,3
192393,,113,A,"54868               ",,,Vorbereitung Praxissemester im FSP emotionale und soziale Entwicklung,,2.0,20221,,,J,2022-02-24 13:57:55.837,,,,,,,,,,2,4,,N,,J,,1,,,,,,,,,,,,J,1
193773,,4,A,"2112MB005UE1        ",,,Organismische Biologie: Fokus Zoologie,,2.0,20221,,,J,2022-01-21 19:08:18.863,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110111,2,4,,N,,N,,1,,,,,,,,,,,,J,1
188573,,4,A,"33144041            ",,,Stochastik I,,2.0,20221,,,J,2021-08-03 14:02:24.674,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
190759,,113,A,"5240384             ",,,Una varietà per ogni occasione: i linguaggi specialistici.,,2.0,20221,,,J,2022-02-14 13:56:57.339,,,,,,,,,,0,4,,N,,J,,4,,,,,,,,,,,,J,2
190718,,113,A,"5240377             ",,,Sprachwandelprozesse an der Schnittstelle von Syntax und Semantik,,2.0,20221,,,J,2021-11-10 12:03:19.130,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
192016,,113,A,"54041               ",,,"SE Modul 1 (Master; AGSP): Lernen und Lehren im institutionalisieren Kontext | Pflichtseminar ""Grundschule als Ort professionellen Handelns""",,2.0,20221,,,J,2022-01-25 08:29:07.373,,,,,,,,,,1,4,,J,,J,,1,,,,,,,,,,,,,1
194750,,4,A,"331520220130        ",,,Elektronenstrukturtheorie,,1.0,20221,,,J,2022-02-18 19:11:06.777,,,,,,,,,,2,4,,J,,J,,1,,,,,,,,,,,,J,3
193783,,354,A,"5250200             ",,,Einführungsveranstaltung Erstsemester MA Amerikanistik,,2.0,20221,,,J,2022-01-18 09:38:17.413,,,,,,,,,,0,4,,N,,N,,1,,,,,,,,,,,,J,1
192578,,113,A,"54271               ",,,Vertiefung quantitativer Forschungsmethoden,,2.0,20221,,,J,2022-01-28 12:52:29.739,,,,,,,,,,2,4,,J,,J,,1,,,,,,,,,,,,,1
190318,,113,A,"3313012             ",,,Komplexität und Kryptografie,,2.0,20221,,,J,2021-11-16 09:46:38.342,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,J,4
191264,,387,A,"53630               ",,,Japanisch 2,,10.0,20221,,,,2022-01-07 11:40:47.276,,,,,,,,,,2,4,,,,J,,1,,,,,,,,,,,,J,3
193774,,4,A,"2112MB005UE2        ",,,Organismische Biologie: Fokus Botanik,,2.0,20221,,,J,2022-01-21 19:08:24.843,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110111,2,4,,N,,J,,1,,,,,,,,,,,,J,1
188577,,4,A,"33144051            ",,,Grundlagen der Numerischen Mathematik und Optimierung,,2.0,20221,,,J,2021-08-03 14:16:49.955,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
190796,,113,A,"5240399             ",,,Literarische Resonanzen,,2.0,20221,,,J,2021-11-16 12:38:18.628,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
188574,,236,A,"3314405             ",,,Grundlagen der Numerischen Mathematik und Optimierung,,4.0,20221,,,J,2021-08-03 14:11:32.801,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
191243,,113,A,"5240430             ",,,Problemfelder des Fremdsprachenlehrens und &#8211;lernens: Mehrsprachigkeit und Mehrkulturalität im Fremdsprachenunterricht,,2.0,20221,,,J,2021-11-23 11:47:36.190,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
192017,,329,A,"54029               ",,,Abschlusskolloquium AGSP (Master) - Grundschule als Ort kultureller Praxis,,2.0,20221,,,J,2022-01-25 08:29:12.968,,,,,,,,,,1,4,,J,,J,,1,,,,,,,,,,,,,1
191265,,113,A,"530165              ",,,Arbeit und Migration aus wohlfahrtsstaatlicher Perspektive,,2.0,20221,,,J,2022-02-16 10:51:05.332,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,J,1
194751,,359,A,"331520220131        ",,,Advanced topics of computational solid-state theory (C.Draxl),,2.0,20221,,,J,2022-02-18 19:11:17.254,,,,,,,,,,1,4,,J,,J,,1,,,,,,,,,,,,J,3
192018,,386,A,"54042               ",,,"Studienprojekt: Modul 2 (Master; AGSP): Lernen und Entwicklung im Kindesalter | Vorbereitung, Begleitung und Auswertung eines Studienprojektes ""Lernen""",,2.0,20221,,,J,2022-01-25 08:29:18.552,,,,,,,,,,2,4,,J,,J,,1,,,,,,,,,,,,,1
191234,,113,A,"5240422             ",,,Perspektiven fremdsprachendidaktischer Forschung: Dramen- und Dramapädagogik,,2.0,20221,,,J,2022-01-11 16:21:53.206,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194240,,236,A,"5240386Ü            ",,,Literatur und Psychologie - von der Frühen Neuzeit bis ins 19. Jhd.,,2.0,20221,,,J,2022-02-01 13:52:09.462,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
190319,,236,A,"3313029             ",,,Grundlagen der Bioinformatik,,2.0,20221,,,J,2021-11-16 09:51:44.991,,,,,,,,,,,4,,N,,N,,1,,,,,,,,,,,,J,4
193791,,4,A,"33144241ÜWP         ",,,Algebraische Geometrie I (M15) (ÜWP),,2.0,20221,,,J,2022-01-18 10:14:24.728,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
193775,,236,A,"3314401ÜWP          ",,,Lineare Algebra und Analytische Geometrie II* (ÜWP),,4.0,20221,,,J,2022-01-18 09:13:08.784,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
193269,,113,A,"54665               ",,,Kommunikationsformen und -systeme für Menschen mit vers. Beeinträchtigungen,,2.0,20221,,,J,2022-02-24 13:45:02.437,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
