"veranstid","verart","verartid","aikz","veranstnr","veranstnrint","ktxt","dtxt","ltxt","sws","semester","erwartteilnehmer","teilnehmermax","druck_vvz","zeitstempel","lehrmethoden","voraussetzung","verweise","pruefungsstoff","credits","kommentar","bemerkung","literatur","hyperlink","uebernrhythm","veranststatusid","pruefmoegl","freigabe","publish","belegpflicht","geschl","unterrsprache","praesenzzeit","art_praesenzzeit","ssz","studienjahr","kosten","externperson","externinst","evalartid","externid","fachuebergreifend_kz","curricular_kz","sichtbar","verformatid"
191446,,113,A,"54149               ",,,"Modul 6a (Bachelor; SU): Konzeptionen und Theorien des Sachunterrichts und seiner Didaktik - Vertiefung Didaktik Sachunterricht | SE Erkenntnis-, Bildungs- und Lerntheorien im Kontext der Sachunterrichtsdidaktik",,2.0,20221,,,J,2022-02-05 08:06:11.996,,,,,,,,,,1,4,,N,,J,,1,,,,,,,,,,,,,2
194340,,236,A,"5220011Ü            ",,,Zweitspracherwerb und Mehrsprachigkeit,,2.0,20221,,,J,2022-02-04 11:10:22.175,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194350,,113,A,"5220097Ü            ",,,Altpreußisch,,2.0,20221,,,J,2022-02-04 13:45:24.591,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
193700,,4,A,"5240363Ü            ",,,Textlektüre A2/B1,,2.0,20221,,,J,2022-01-14 11:54:44.103,,,,,,,,,,0,4,,N,,J,,24,,,,,,,,,,,,,1
194345,,113,A,"5220052Ü            ",,,Der Fragebogen als Erhebungsinstrument der Linguistik,,2.0,20221,,,J,2022-02-04 14:55:35.902,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194349,,113,A,"5220086Ü            ",,,Jungavestisch,,2.0,20221,,,J,2022-02-04 13:42:41.965,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
193704,,4,A,"53459               ",,,Harmonielehre (Kurs I),,2.0,20221,,,J,2022-01-19 14:59:36.772,,,,,,,,,,1,4,,N,,N,,1,,,,,,,,,,,,J,1
193705,,4,A,"53460               ",,,Harmonielehre (Kurs II),,2.0,20221,,,J,2022-01-19 15:01:35.480,,,,,,,,,,1,4,,N,,N,,1,,,,,,,,,,,,J,1
193706,,4,A,"53457               ",,,Gehörbildung (Basiskurs),,1.0,20221,,,J,2022-02-11 20:23:49.844,,,,,,,,,,1,4,,N,,N,,1,,,,,,,,,,,,J,1
194358,,113,A,"53920               ",,,"Gender, Environment and Sustainability: Theory and Debates",,2.0,20221,,,J,2022-02-06 21:42:41.725,,,,,,,,,,0,4,,N,,J,,2,,,,,,,,,,,,J,3
194361,,429,A,"21811699            ",,,Intelligente Roboter: Welche sozialen Fähigkeiten lassen Roboter intelligent erscheinen?,,2.0,20221,,,J,2022-02-07 08:46:21.325,,,,,,,,,,0,4,,J,,J,,2,,,,,,,,,,,,J,2
194362,,4,A,"51473               ",,,Wer hat es geschrieben? Authorship Attribution als Methode der Digital History,,2.0,20221,,,J,2022-02-07 09:03:25.936,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194363,,342,A,"20437               ",,,Topics in Agricultural and Food Policy,,4.0,20221,,,J,2022-02-07 10:11:33.579,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=109997,0,4,,N,,N,,2,,,,,,,,,,,,,1
194318,,236,A,"10632               ",,,Gestaltungsthemen im Religionsverfassungsrecht im nationalen wie europäischen Kontext,,2.0,20221,,,J,2022-02-07 11:30:17.366,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110519,,4,,N,,N,,1,,,,,,,,,,,,,1
194365,,429,A,"21811700            ",,,Life Writing as a Democratizing Practice: Hybrid Feminist and Queer Writing 1960-1990,,2.0,20221,,,J,2022-02-07 12:12:03.852,,,,,,,,,,0,4,,J,,J,,2,,,,,,,,,,,,J,2
194366,,236,A,"54761Ü              ",,,Grundlagen lebenslanger Entwicklung,,2.0,20221,,,J,2022-02-24 14:01:35.926,,,,,,,,,,1,4,,J,,J,,1,,,,,,,,,,,,,1
194369,,113,A,"54812Ü              ",,,Erleben chronischer Krankheit und Behinderung,,2.0,20221,,,J,2022-02-24 14:00:13.528,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194377,,113,A,"54816Ü              ",,,Der partizipative Forschungsstil,,2.0,20221,,,J,2022-02-24 14:00:13.558,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194379,,433,A,"54789Ü              ",,,Kommunikationstheoretische Grundlagen der UK,,2.0,20221,,,J,2022-02-24 14:00:57.108,,,,,,,,,,2,4,,N,,J,,1,,,,,,,,,,,,,1
194381,,113,A,"54665Ü              ",,,Kommunikationsformen und -systeme für Menschen mit vers. Beeinträchtigungen,,2.0,20221,,,J,2022-02-24 13:45:02.443,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
194455,,113,A,"53759               ",,,Sprachliche und kulturelle Identitäten von Überseechinesen,,2.0,20221,,,,2022-02-15 12:18:34.148,,,,,,,,,,2,4,,,,J,,1,,,,,,,,,,,,J,3
194382,,113,A,"54741Ü              ",,,Pädagogische Begleitung von Kindern und Jugendlichen mit progredienten Erkrankungen; Didaktisch-methodische Fragestellungen,,2.0,20221,,,J,2022-02-24 14:02:29.424,,,,,,,,,,1,4,,N,,J,,1,,,,,,,,,,,,,1
194383,,113,A,"54733Ü              ",,,Spezifische Aspekte der Pädagogik für Kinder und Jugendliche mit lvE,,2.0,20221,,,J,2022-02-24 14:02:29.388,,,,,,,,,,2,4,,N,,J,,1,,,,,,,,,,,,,1
194385,,113,A,"54716Ü              ",,,Spezielle Aspekte der Pädagogik für Kinder und Jugendliche mit komplexer Behinderung,,2.0,20221,,,J,2022-02-24 14:00:48.941,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194387,,113,A,"54674Ü              ",,,"Laut-, Schrift- und Gebärdenspracherwerb",,2.0,20221,,,J,2022-02-24 13:46:55.893,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,,1
194388,,113,A,"54873Ü              ",,,Außerschulische Bildung: Inklusive Angebote für Lernende mit multiplen Teilhabebarrieren entwickeln,,2.0,20221,,,J,2022-02-24 13:57:55.902,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194395,,236,A,"2112024a            ",,,Theoretische Biophysik,,2.0,20221,,,J,2022-02-07 19:44:20.398,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110092,2,4,,J,,N,,1,,,,,,,,,,,,,1
194397,,4,A,"2112025a            ",,,Theoretische Physik und Biophysik,,2.0,20221,,,J,2022-02-07 19:44:03.682,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110092,2,4,,J,,J,,1,,,,,,,,,,,,,1
194396,,236,A,"2112026a            ",,,Theoretische Physik,,2.0,20221,,,J,2022-02-07 19:44:12.118,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110092,2,4,,J,,N,,1,,,,,,,,,,,,,1
194399,,429,A,"21811701            ",,,Security Governance and Democracy,,2.0,20221,,,J,2022-02-08 10:16:33.352,,,,,,,,,,0,4,,J,,J,,2,,,,,,,,,,,,J,2
194405,,4,A,"2112014a            ",,,Mikrobiologische Übungen,,4.0,20221,,,J,2022-02-08 15:33:03.954,,,,,,,,,,2,4,,J,,N,,1,,,,,,,,,,,,,1
194398,,113,A,"530070              ",,,Stability and Change: Eastern Europe in Comparative Perspective,,2.0,20221,,,J,2022-03-01 10:14:44.317,,,,,,,,,,0,4,,J,,J,,2,,,,,,,,,,,,J,2
194407,,236,A,"53757               ",,,Einführungsvorlesung Kultur/Identität,,2.0,20221,,,J,2022-02-09 14:31:14.668,,,,,,,,,,2,4,,J,,J,,1,,,,,,,,,,,,,1
194406,,113,A,"10613               ",,,Verfassungsrecht und Politik,,2.0,20221,,,J,2022-02-08 16:48:47.895,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110571,,4,,N,,N,,1,,,,,,,,,,,,J,1
194408,,236,A,"51008               ",,,Probleme einer Philosophischen Gotteslehre,,2.0,20221,,,J,2022-02-26 19:46:01.914,,,,,,,,,,0,4,,N,,N,,1,,,,,,,,,,,,J,1
192167,,4,A,"5250016             ",,,Oral Skills: Social Media/Social Justice Movements in the US: #MeToo and #BLM,,2.0,20221,,,J,2022-02-04 11:47:18.248,,,,,,,,,,0,4,,N,,N,,2,,,,,,,,,,,,,3
191892,,113,A,"5250092             ",,,Culture and Context: Topics in American History,,2.0,20221,,,J,2021-12-07 12:05:19.545,,,,,,,,,,0,4,,N,,J,,2,,,,,,,,,,,,,1
191891,,4,A,"5250091i            ",,,Lektüreübung,,1.0,20221,,,J,2021-12-07 12:03:59.791,,,,,,,,,,0,4,,N,,J,,2,,,,,,,,,,,,,1
191889,,4,A,"5250091             ",,,Lektüreübung,,1.0,20221,,,J,2021-12-07 11:57:36.510,,,,,,,,,,0,4,,N,,J,,2,,,,,,,,,,,,,1
194409,,113,A,"10521               ",,,lege artis - Handwerk und Kunst der juristischen Falllösungsmethode,,2.0,20221,,,J,2022-02-10 15:45:24.949,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110591,,4,,N,,N,,1,,,,,,,,,,,,,2
194420,,236,A,CUB2738             ,,,Einführung in die Sexualwissenschaft/Sexualmedizin,,2.0,20221,,,J,2022-02-10 13:48:19.962,,,,,,,,,,1,4,,J,,N,,1,,,,,,,,,,,,,2
194393,,113,A,"2112QMB009SE        ",,,Current topics in epigenetics,,2.0,20221,,,J,2022-02-10 18:04:29.994,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110071,2,4,,N,,N,,2,,,,,,,,,,,,J,1
194394,,375,A,"2112QMB009PR        ",,,Methods in epigenetics,,8.0,20221,,,J,2022-02-10 18:05:04.697,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110071,2,4,,N,,J,,2,,,,,,,,,,,,J,1
194392,,236,A,"2112QMB009L         ",,,Chromatin and Epigenetics,,2.0,20221,,,J,2022-02-10 18:05:12.471,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110071,2,4,,N,,N,,2,,,,,,,,,,,,J,1
192162,,4,A,"5250011             ",,,Oral Skills: Considering People and Politics in the USA,,2.0,20221,,,J,2022-02-11 09:31:32.275,,,,,,,,,,0,4,,N,,N,,2,,,,,,,,,,,,,1
194422,,429,A,"21811703            ",,,Research project development in theory and practice with application to a real-world data set on Syrian refugees in Europe and Middle East,,2.0,20221,,,J,2022-02-11 09:45:00.558,,,,,,,,,,0,4,,J,,J,,2,,,,,,,,,,,,J,2
194426,,113,A,"530195              ",,,Demokratietheorie (ÜWP),,2.0,20221,,,J,2022-02-16 10:55:54.981,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194427,,113,A,"530196              ",,,Asylpolitik und Asylrecht: Methoden und Theorien der Fluchtforschung zwischen Sozial- und Rechtswissenschaften (ÜWP),,2.0,20221,,,J,2022-02-24 09:43:44.953,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194428,,113,A,"530165              ",,,Arbeit und Migration aus wohlfahrtsstaatlicher Perspektive (ÜWP),,2.0,20221,,,J,2022-02-16 10:51:14.230,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194433,,113,A,"530207              ",,,Einführung in die Politische Soziologie (ÜWP),,2.0,20221,,,J,2022-02-16 10:58:21.186,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194432,,113,A,"530190              ",,,Abstieg und Polarisierung: Soziologie in Krisendebatten (ÜWP),,2.0,20221,,,J,2022-02-16 09:02:01.272,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194436,,113,A,"530220              ",,,Pro-migrantischer Protest: Solidarität und Aushandlung umkämpfter Teilhabe #BIM (ÜWP),,2.0,20221,,,J,2022-02-16 11:07:19.276,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194429,,113,A,"530170              ",,,Queer Feminist Issues in Methodologies and Social Science Research (ÜWP),,2.0,20221,,,J,2022-02-16 11:07:52.413,,,,,,,,,,0,4,,J,,J,,2,,,,,,,,,,,,,1
194346,,113,A,"5220053Ü            ",,,Einführung in die Feldforschung,,2.0,20221,,,J,2022-02-04 13:27:40.640,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194441,,113,A,"530178              ",,,Advanced Theories of Policy Making (ÜWP),,2.0,20221,,,J,2022-02-16 10:49:44.863,,,,,,,,,,0,4,,N,,J,,2,,,,,,,,,,,,,1
