"ueid","insertmark","aikz","eid","txt","hinweis","drucken","belegpflicht","quellid","zeitstempel","headerentry","externid"
217905,,A,,MED SP M 1/2/2a/2b Förderschwerpunkt Körperliche und motorische Entwicklung (2363),,J,,207345,2021-07-29 14:01:03.260,,
217906,,A,,Körperbehindertenpädagogik,,J,,208676,2021-07-29 14:01:03.286,,
217907,,A,,Berufsfelderschließendes Praktikum,,J,,207346,2021-07-29 14:01:03.313,,
217908,,A,,Geistigbehindertenpädagogik,,J,,208677,2021-07-29 14:01:03.340,,
217909,,A,,Einführungsveranstaltungen für Erstsemester,,J,,208678,2021-07-29 14:01:03.368,,
217910,,A,,FWM E 42: Verfahrenstechnik und pflanzenbauliche Probleme in der Gehölzanzucht (SoSe),,J,,207347,2021-07-29 14:01:03.410,,
217912,,A,,FWM E 11: Biotechnologie der Pflanzen (WiSe),,J,,206009,2021-07-29 14:01:03.466,,
217913,,A,,Forschungsseminare,,J,,207348,2021-07-29 14:01:03.495,,
217915,,A,,Modul B10: Hauptexkursion mit begleitendem Seminar,,J,,207349,2021-07-29 14:01:03.552,,
217916,,A,,Modul: &#8222;Methodik und Theorie&#8220;,,J,,206018,2021-07-29 14:01:03.581,,
217917,,A,,Vertiefungsschwerpunkt  Daten- und Wissensmanagement,,J,,207339,2021-07-29 14:01:03.614,,
217918,,A,,"11.7.1 Grundlagen der Kommunikation bei dualer Sinnesbeeinträchtigung (SE)",,J,,206017,2021-07-29 14:01:03.648,,
217919,,A,,Modul 6.1: Spatial modelling of human-environment systems,,J,,206016,2021-07-29 14:01:03.681,,
217920,,A,,MED SP M 1/2/2a/2b Förderschwerpunkt Emotionale und soziale Entwicklung (2366),,J,,206015,2021-07-29 14:01:03.715,,
217921,,A,,PM 3: Biologie der Pflanzen (WiSe),,J,,206014,2021-07-29 14:01:03.751,,
217924,,A,,Mathematisch-Naturwissenschaftliche Fakultät,,J,,206011,2021-07-29 14:01:03.864,,
217926,,A,,Institut für Rehabilitationswissenschaften,,J,,208680,2021-07-29 14:01:03.943,,
217928,,A,,Geistigbehindertenpädagogik,,J,,208681,2021-07-29 14:01:04.510,,
217929,,A,,"4.1 Gesellschaft und Behinderung (VL)",,J,,208682,2021-07-29 14:01:04.840,,
217930,,A,,Gehörlosenpädagogik,,J,,207351,2021-07-29 14:01:04.110,,
217931,,A,,Wahlpflicht,,J,,208683,2021-07-29 14:01:04.137,,
217932,,A,,Sehbehindertenpädagogik,,J,,207352,2021-07-29 14:01:04.168,,
217933,,A,,MED SP M 1/2/2a/2b Förderschwerpunkt Sehen (2361),,J,,207353,2021-07-29 14:01:04.201,,
217934,,A,,Gehörlosenpädagogik,,J,,208684,2021-07-29 14:01:04.232,,
217935,,A,,Blindenpädagogik,,J,,208685,2021-07-29 14:01:04.264,,
217936,,A,,Verhaltensgestörtenpädagogik,,J,,207354,2021-07-29 14:01:04.298,,
217937,,A,,"9.2 Ausgewählte therapeutische Behandlungsmethoden und Ansätze der pädagogischen Förderung",,J,,207355,2021-07-29 14:01:04.332,,
217938,,A,,Sehbehindertenpädagogik,,J,,208686,2021-07-29 14:01:04.365,,
217939,,A,,Modul 11: Praxisorientierung,,J,,207356,2021-07-29 14:01:04.399,,
217940,,A,,Modul 11: Deutsche Gebärdensprache A2+,,J,,208687,2021-07-29 14:01:04.432,,
217941,,A,,FM 12 (L): Post-harvest Quality and Stored Product Protection (WiSe),,J,,207357,2021-07-29 14:01:04.467,,
217942,,A,,FM 16: Project Management - Applied to Natural Resource - based Sectors and Development Programmes (SoSe),,J,,208688,2021-07-29 14:01:04.503,,
217944,,A,,FWM E 3: Aktuelle Themen in den Gartenbauwissenschaften (SoSe),,J,,208689,2021-07-29 14:01:04.573,,
217945,,A,,PM 2: Biologie der Pflanzen,,J,,207359,2021-07-29 14:01:04.608,,
217946,,A,,FD1 & FD2: Bildungsprozesse im Sportunterricht,,J,,206019,2021-07-29 14:01:04.643,,
217947,,A,,"Praxisbereich (Module 14, 15, 16)",,J,,206029,2021-07-29 14:01:04.678,,
217948,,A,,Verhaltensgestörtenpädagogik,,J,,206028,2021-07-29 14:01:04.720,,
217950,,A,,FM 1: Institutional Economics and Political Economy I - Basic Concepts and Applications (WiSe),,J,,206026,2021-07-29 14:01:04.800,,
217951,,A,,Seminare,,J,,206025,2021-07-29 14:01:04.835,,
217952,,A,,Modul P 6: Einführung in das bilaterale Simultandolmetschen und Dolmetschtheorie,,J,,206024,2021-07-29 14:01:04.870,,
217953,,A,,Geistigbehindertenpädagogik,,J,,206023,2021-07-29 14:01:04.906,,
217955,,A,,Hauptstudium,,J,,206021,2021-07-29 14:01:04.964,,
217957,,A,,Modul B9: Fachliches Wahlpflichtmodul &#8211; 3x10 LP,,J,,208690,2021-07-29 14:01:05.200,,
217958,,A,,Grundstudium,,J,,208691,2021-07-29 14:01:05.480,,
217959,,A,,Geistigbehindertenpädagogik,,J,,207360,2021-07-29 14:01:05.750,,
217960,,A,,Forschungsseminare,,J,,208692,2021-07-29 14:01:05.100,,
217961,,A,,Gehörlosenpädagogik,,J,,207361,2021-07-29 14:01:05.125,,
217962,,A,,Gehörlosenpädagogik,,J,,208693,2021-07-29 14:01:05.161,,
217963,,A,,Blindenpädagogik,,J,,207362,2021-07-29 14:01:05.195,,
217964,,A,,Grundlagen lebenslanger Entwicklung (VL),,J,,208694,2021-07-29 14:01:05.226,,
217965,,A,,Blindenpädagogik,,J,,207363,2021-07-29 14:01:05.257,,
217967,,A,,Einführungsmodul (Modul 1),,J,,207364,2021-07-29 14:01:05.323,,
217968,,A,,MA RP 14 4.1 Vertiefte Anwendung qualitativer oder quantitativer Forschungsmethoden (2639),,J,,207365,2021-07-29 14:01:05.358,,
217969,,A,,Sprachbehindertenpädagogik,,J,,208696,2021-07-29 14:01:05.393,,
217970,,A,,F8.5: Geographisches Wahlpflichtmodul im Methodenbereich der Humangeographie (B.A.),,J,,208697,2021-07-29 14:01:05.428,,
217971,,A,,"2. Semester",,J,,207366,2021-07-29 14:01:05.464,,
217972,,A,,Allgemeine Rehabilitationspädagogik (2),,J,,207367,2021-07-29 14:01:05.501,,
217973,,A,,Allgemeine Rehabilitationspädagogik,,J,,208698,2021-07-29 14:01:05.538,,
217974,,A,,Verhaltensgestörtenpädagogik,,J,,207368,2021-07-29 14:01:05.574,,
217975,,A,,Verhaltensgestörtenpädagogik,,J,,208699,2021-07-29 14:01:05.611,,
217976,,A,,Verhaltensgestörtenpädagogik,,J,,207369,2021-07-29 14:01:05.648,,
217979,,A,,Blindenpädagogik,,J,,206037,2021-07-29 14:01:05.760,,
217980,,A,,FW1: Fachwissenschaftliche Kompetenzen,,J,,206036,2021-07-29 14:01:05.797,,
217981,,A,,Modul 6: Soziologische Grundlagen der Rehabilitation,,J,,206035,2021-07-29 14:01:05.835,,
217983,,A,,Modul 3: Unterrichtspraktikum,,J,,206033,2021-07-29 14:01:05.909,,
217984,,A,,Modul 1 - Studieneingangsphase,,J,,206032,2021-07-29 14:01:05.964,,
217985,,A,,Blinden- und Sehbehindertenpädagogik,,J,,206031,2021-07-29 14:01:06.300,,
217986,,A,,FM 18 (N): Symbioses in Plant Nutrition (SoSe),,J,,206030,2021-07-29 14:01:06.390,,
217987,,A,,Körperbehindertenpädagogik,,J,,207370,2021-07-29 14:01:06.760,,
217988,,A,,"Kernmodul 1: Professionalisierung, Führungsaufgaben und Qualitätssicherung in der Rehabilitation",,J,,207371,2021-07-29 14:01:06.113,,
217989,,A,,"Modul: &#8222;Imperien, Staaten, Nationen&#8220;",,J,,207372,2021-07-29 14:01:06.150,,
217990,,A,,"DMS 1 Individuelle Bewegungsformen erfahren, verstehen und erlernen",,J,,207373,2021-07-29 14:01:06.187,,
217991,,A,,Schwerhörigenpädagogik,,J,,207374,2021-07-29 14:01:06.224,,
217992,,A,,Bachelorstudiengang Englisch (ab StO 2014),,J,,207375,2021-07-29 14:01:06.261,,
217993,,A,,Rehabilitationstechnik und Informatik,,J,,207376,2021-07-29 14:01:06.316,,
217994,,A,,Fachlicher Wahlpflichtbereich,,J,,207377,2021-07-29 14:01:06.354,,
217995,,A,,Sprachmodul 2 (Modul 6),,J,,207378,2021-07-29 14:01:06.391,,
217996,,A,,ÜWP Basis 2 Diagnostik und Evaluation,,J,,207379,2021-07-29 14:01:06.428,,
217997,,A,,Körperbehindertenpädagogik,,J,,206049,2021-07-29 14:01:06.465,,
217998,,A,,Modul 9: BA-Arbeit,,J,,206048,2021-07-29 14:01:06.502,,
218000,,A,,Gehörlosenpädagogik,,J,,206046,2021-07-29 14:01:06.576,,
218001,,A,,"V5b Bewegung, Sport und Leistung",,J,,206045,2021-07-29 14:01:06.616,,
218002,,A,,BA SP 3.1 Gesellschaft und Behinderung (VL) (1489),,J,,206044,2021-07-29 14:01:06.654,,
218003,,A,,Freiwilliges Zusatzangebot WiSe 2020/2021,,J,,206043,2021-07-29 14:01:06.692,,
218005,,A,,"8.1 Modelle, Perpektiven und Paradigmen der Rehabilitationspädagogik (VL)",,J,,206041,2021-07-29 14:01:06.768,,
218007,,A,,Lernbehindertenpädagogik,,J,,207380,2021-07-29 14:01:06.845,,
218008,,A,,BA DS 06 Modul B2 - Schlüsselqualitfikationen Kommunizieren - Schreiben - Verhandeln,,J,,207381,2021-07-29 14:01:06.883,,
218009,,A,,MA GSD Fachterminologie I (2239),,J,,207382,2021-07-29 14:01:06.940,,
218010,,A,,Lernbehindertenpädagogik,,J,,207383,2021-07-29 14:01:06.979,,
218011,,A,,Grundlagen der Didaktik (VL),,J,,207384,2021-07-29 14:01:07.170,,
218012,,A,,Gehörlosenpädagogik,,J,,207385,2021-07-29 14:01:07.560,,
218013,,A,,PM 4: Agrar- und Gartenbautechnik,,J,,207386,2021-07-29 14:01:07.940,,
218014,,A,,"6.2 Ethik (SE)",,J,,207387,2021-07-29 14:01:07.133,,
218015,,A,,BA SP BA SP 14.4.1 Grundlagen der Medienpädagogik (VL),,J,,207388,2021-07-29 14:01:07.172,,
218016,,A,,Proseminare,,J,,207389,2021-07-29 14:01:07.210,,
218017,,A,,"BA SP M 12/13 Förderschwerpunkt Sehen (2178,4428)",,J,,206059,2021-07-29 14:01:07.269,,
218018,,A,,BA DS 18 4.2 Allgemeine Grundlagen der Fachrichtungen und Querschnittsdisziplinen II (VL) (5139),,J,,206058,2021-07-29 14:01:07.309,,
218021,,A,,BA DS 18 6.2 Psychologische Aspekte des Taubseins (SE) (5159),,J,,206055,2021-07-29 14:01:07.452,,
218022,,A,,BA SP 14.6 Unterstützte Kommunikation,,J,,206054,2021-07-29 14:01:07.493,,
218023,,A,,Sprachbehindertenpädagogik,,J,,206053,2021-07-29 14:01:07.533,,
218024,,A,,Gesamtes Lehrangebot im Überblick,,J,,206052,2021-07-29 14:01:07.573,,
218025,,A,,Schwerhörigenpädagogik,,J,,206051,2021-07-29 14:01:07.611,,
218026,,A,,Ergänzungsbereich,,J,,206050,2021-07-29 14:01:07.650,,
218027,,A,,Seminare,,J,,207390,2021-07-29 14:01:07.688,,
218029,,A,,"11.4.1 Grundlagen der Medienpädagogik (VL)",,J,,207392,2021-07-29 14:01:07.783,,
218030,,A,,FWM E 18: Domestikation der Haustiere (SoSe),,J,,207393,2021-07-29 14:01:07.821,,
218031,,A,,Lernbehindertenpädagogik,,J,,207394,2021-07-29 14:01:07.859,,
218032,,A,,Schwerhörigenpädagogik,,J,,207395,2021-07-29 14:01:07.897,,
218033,,A,,Wahlpflichtmodule,,J,,207396,2021-07-29 14:01:07.935,,
218034,,A,,Sprachbehindertenpädagogik,,J,,207397,2021-07-29 14:01:07.973,,
218035,,A,,"Modul 10 Authors, Periods, Genres",,J,,207398,2021-07-29 14:01:08.100,,
218036,,A,,Gehörlosenpädagogik,,J,,207399,2021-07-29 14:01:08.470,,
218037,,A,,FWPM 1: Landwirtschaft und Gartenbau in Ballungszentren (WiSe),,J,,206069,2021-07-29 14:01:08.840,,
218038,,A,,Pflichtbereich,,J,,206068,2021-07-29 14:01:08.121,,
218039,,A,,Sehbehindertenpädagogik,,J,,206067,2021-07-29 14:01:08.158,,
218040,,A,,Verhaltensgestörtenpädagogik,,J,,206066,2021-07-29 14:01:08.194,,
218043,,A,,FW1: Fachwissenschaftliche Kompetenzen,,J,,206063,2021-07-29 14:01:08.299,,
218045,,A,,PM 3.a: Biologie der Tiere,,J,,206061,2021-07-29 14:01:08.371,,
218046,,A,,Modul 8: Vertiefungsmodule,,J,,206060,2021-07-29 14:01:08.406,,
218047,,A,,[MBPH 6] Physikalische Chemie,,J,,209101,2021-07-29 14:01:08.442,,
218048,,A,,[MBPH 5] Physikalisches Praktikum,,J,,209100,2021-07-29 14:01:08.495,,
218049,,A,,[MBPH 8] Grundlagen der Biophysik,,J,,209103,2021-07-29 14:01:08.550,,
218050,,A,,[MBPH 7] Physik 3,,J,,209102,2021-07-29 14:01:08.587,,
218051,,A,,[MBPH 10] Programmierung und Bioinformatik,,J,,209105,2021-07-29 14:01:08.624,,
218052,,A,,[MBPH 9] Theoretische Biophysik 1,,J,,209104,2021-07-29 14:01:08.679,,
218053,,A,,[MBPH 12] Abschlussmodul / Bachelorarbeit,,J,,209107,2021-07-29 14:01:08.715,,
218054,,A,,[MBPH 11] Studienprojekt Mono,,J,,209106,2021-07-29 14:01:08.770,,
218055,,A,,[MBPH 13] Theoretische Biophysik 2,,J,,209109,2021-07-29 14:01:08.825,,
218056,,A,,[MBPH 12] Abschlussmodul / Bachelorarbeit,,J,,209108,2021-07-29 14:01:08.880,,
218057,,A,,BA DS 18 10.1 Deutsche Gebärdensprache II (SK) (5199),,J,,206079,2021-07-29 14:01:08.936,,
218058,,A,,Modul ME-01a: Probleme der Neueren und Neuesten Geschichte,,J,,206078,2021-07-29 14:01:08.974,,
218059,,A,,MED SP M 3 Förderschwerpunkt Hören und Kommunikation (33208),,J,,206077,2021-07-29 14:01:09.350,,
218060,,A,,Modul-Pool II: Politik und Märkte (WiSe),,J,,206076,2021-07-29 14:01:09.750,,
218061,,A,,"Wissensgebiet 1: &#8220;Natural Sciences Applied to the  Use and Protection of Natural Resource Systems""",,J,,206075,2021-07-29 14:01:09.114,,
218062,,A,,Profilrichtung 4: Biogene Rohstoffe,,J,,206074,2021-07-29 14:01:09.153,,
218063,,A,,BA RP 4.1 Grundlagen der Entwicklung und Lernen in der Lebensspanne (VL) (2059),,J,,206073,2021-07-29 14:01:09.191,,
218064,,A,,Fachrichtungswissenschaftliche Spezifizierung und Diagnostik,,J,,206072,2021-07-29 14:01:09.230,,
218065,,A,,"2.2 Einführung in die Linguistik der Lautsprachen (SE)",,J,,206071,2021-07-29 14:01:09.269,,
218066,,A,,Obligatorisch,,J,,206070,2021-07-29 14:01:09.307,,
218067,,A,,[MBPH 14] Experimentelle Biophysik,,J,,209110,2021-07-29 14:01:09.345,,
218068,,A,,Fachlicher Wahlpflichtbereich,,J,,209112,2021-07-29 14:01:09.402,,
218069,,A,,Pflichtbereich,,J,,209111,2021-07-29 14:01:09.441,,
218070,,A,,Wintersemester,,J,,209114,2021-07-29 14:01:09.479,,
218071,,A,,Sommersemester,,J,,209113,2021-07-29 14:01:09.518,,
218072,,A,,Wintersemester,,J,,209116,2021-07-29 14:01:09.555,,
218073,,A,,Sommersemester,,J,,209115,2021-07-29 14:01:09.594,,
218074,,A,,[MB 5] Organismische Biologie,,J,,209118,2021-07-29 14:01:09.636,,
218075,,A,,[MB 1] Molekulare Zellbiologie,,J,,209117,2021-07-29 14:01:09.674,,
218076,,A,,Modul 7 - Förderkompetenz,,J,,206089,2021-07-29 14:01:09.713,,
218077,,A,,Master-Lehramtsstudiengang (M.Ed.),,J,,206088,2021-07-29 14:01:09.751,,
218078,,A,,"10.1 Erscheinungsformen seelischer Erkrankungen sowie ausgewählter Verhaltensstörungen",,J,,206087,2021-07-29 14:01:09.808,,
218079,,A,,BA SP 14.7.1 Grundlagen der Kommunikation bei dualer Sinnesbeeinträchtigung (SE),,J,,206086,2021-07-29 14:01:09.847,,
218080,,A,,Modul BZQ II - Berufsfelderschließendes Praktikum,,J,,206085,2021-07-29 14:01:09.885,,
218082,,A,,PM 7: Bodenkunde (SoSe),,J,,206083,2021-07-29 14:01:09.962,,
218083,,A,,Gebärdensprachdolmetschen und Gebärdensprache,,J,,206082,2021-07-29 14:01:09.999,,
218084,,A,,FM 14: Institutions and Instruments of Development Co-operation (SoSe),,J,,206081,2021-07-29 14:01:10.540,,
218085,,A,,Modul 1 - Einführung in die Deaf Studies,,J,,206080,2021-07-29 14:01:10.920,,
218086,,A,,Blindenpädagogik,,J,,206090,2021-07-29 14:01:10.131,,
218087,,A,,[MB 16] Pflanzenphysiologie und Entwicklungsbiologie,,J,,209121,2021-07-29 14:01:10.169,,
218088,,A,,[MB 10] Evolution und Biosystematik,,J,,209120,2021-07-29 14:01:10.207,,
218089,,A,,"[MB 19] Theorie, Werkzeuge und Methoden der Biologie",,J,,209123,2021-07-29 14:01:10.246,,
218090,,A,,[MB 18] Ökologie und Biodiversität,,J,,209122,2021-07-29 14:01:10.284,,
218091,,A,,[KF 2] Basismodul Didaktik der Biologie,,J,,209125,2021-07-29 14:01:10.322,,
218092,,A,,[KF 1] Verhaltens- und Humanbiologie,,J,,209124,2021-07-29 14:01:10.360,,
218093,,A,,[MB 2] Von der Zelle zum Organismus,,J,,209127,2021-07-29 14:01:10.398,,
218094,,A,,[ZF 2] Grundlagen der Tier- und Neurophysiologie,,J,,209126,2021-07-29 14:01:10.435,,
218095,,A,,Sommersemester,,J,,209129,2021-07-29 14:01:10.473,,
218096,,A,,[ZF 1] Naturwissenschaftliche Grundlagen,,J,,209128,2021-07-29 14:01:10.511,,
218097,,A,,Modul: &#8222;Kolonialismus und Post-Kolonialismus / Colonialism and Post-Colonialism&#8220;,,J,,206099,2021-07-29 14:01:10.562,,
218098,,A,,FWM E 16: Futteranbau und -nutzungssysteme (SoSe),,J,,206098,2021-07-29 14:01:10.606,,
218100,,A,,"10.2 Beratungspraxis (SE)",,J,,206096,2021-07-29 14:01:10.734,,
218099,,A,,[MB-A05] Cell Biology of Parasites,,J,,206097,2022-03-05 04:02:24.995,,
218103,,A,,FM 18: Steuerlehre und Gemeinnützigkeit (WiSe),,J,,206093,2021-07-29 14:01:10.888,,
218104,,A,,Modul: &#8222;Herrschaft und Konflikt&#8220;,,J,,206092,2021-07-29 14:01:10.930,,
218105,,A,,Aufbaukurs Sprache (Modul 8),,J,,206091,2021-07-29 14:01:10.974,,
218106,,A,,Wintersemester,,J,,209130,2021-07-29 14:01:11.160,,
218107,,A,,[MB 5] Organismische Biologie,,J,,209132,2021-07-29 14:01:11.570,,
218108,,A,,[MB 1] Molekulare Zellbiologie,,J,,209131,2021-07-29 14:01:11.980,,
218109,,A,,[MB 10] Evolution und Biosystematik,,J,,209136,2021-07-29 14:01:11.138,,
218110,,A,,[MB 15] Mikrobiologie und Parasitologie,,J,,209138,2021-07-29 14:01:11.166,,
218111,,A,,[MB 13] Tier- und Neurophysiologie,,J,,209137,2021-07-29 14:01:11.198,,
218112,,A,,[MB 16] Pflanzenphysiologie und Entwicklungsbiologie,,J,,209139,2021-07-29 14:01:11.231,,
218113,,A,,[MB 18] Ökologie und Biodiversität,,J,,209141,2021-07-29 14:01:11.264,,
218114,,A,,[MB 17] Molekulare Genetik,,J,,209140,2021-07-29 14:01:11.298,,
218115,,A,,[KF 1] Verhaltens- und Humanbiologie,,J,,209143,2021-07-29 14:01:11.332,,
218116,,A,,"[MB 19] Theorie, Werkzeuge und Methoden der Biologie",,J,,209142,2021-07-29 14:01:11.367,,
218117,,A,,[KF 3] Studienprojekt Kombi,,J,,209145,2021-07-29 14:01:11.405,,
218118,,A,,[KF 2] Basismodul Didaktik der Biologie,,J,,209144,2021-07-29 14:01:11.464,,
218119,,A,,[MB 1] Molekulare Zellbiologie,,J,,209147,2021-07-29 14:01:11.502,,
218120,,A,,[KF 3] Studienprojekt Kombi,,J,,209146,2021-07-29 14:01:11.544,,
218121,,A,,[MB 4] Allgemeine und Anorganische Chemie,,J,,209148,2021-07-29 14:01:11.598,,
218122,,A,,[MB 11] Biochemie und Mikrobiologie,,J,,209150,2021-07-29 14:01:11.637,,
218123,,A,,[MB 22] Molekulare Mikrobiologie und Parasitologie,,J,,209152,2021-07-29 14:01:11.675,,
218124,,A,,[MB 7] Organische Chemie,,J,,209151,2021-07-29 14:01:11.733,,
218125,,A,,[MB 24] Molekulare Zellbiologie,,J,,209154,2021-07-29 14:01:11.774,,
218126,,A,,[MB 23] Grundlagen der pflanzlichen Molekularbiologie,,J,,209153,2021-07-29 14:01:11.836,,
218127,,A,,FM 19: Participatory Rural Innovation and Knowledge Systems (WiSe),,J,,206900,2021-07-29 14:01:11.895,,
218128,,A,,Blindenpädagogik,,J,,206901,2021-07-29 14:01:11.935,,
218129,,A,,Blindenpädagogik,,J,,206902,2021-07-29 14:01:11.975,,
218131,,A,,Modul F7: (Thematisch-) Regionale Geographie (10 LP),,J,,206904,2021-07-29 14:01:12.540,,
218133,,A,,Didaktische Kompetenz,,J,,206906,2021-07-29 14:01:12.119,,
218134,,A,,Lernbehindertenpädagogik,,J,,206907,2021-07-29 14:01:12.145,,
218135,,A,,Lernbehindertenpädagogik,,J,,206908,2021-07-29 14:01:12.172,,
218136,,A,,M.Sc. Agricultural Economics,,J,,206909,2021-07-29 14:01:12.202,,
