"texteid","txt","zeitstempel"
720,Acquisition of scientific and technical decision-making competence in \t\tthe local social lesson/elementary science II: What is behind the things?,2008-09-17 13:30:52.353
684,Psychometric Principles of Educational Achievement Surveys,2008-09-17 12:57:05.909
685,Statistics I (Designed for Courses in Rehabilitation Studies),2008-09-17 12:57:33.162
686,Psychometric Principles of Educational Achievement Surveys,2008-09-17 12:57:59.462
687,"Lifelong learning in the perspectives of  educational policy, institutions of adult education  and individual responsibility",2008-09-17 12:59:58.646
688,Socialization of adults and specific learning opportunities in course of life,2008-09-17 13:00:23.258
690,Biographies  and institutional aspects of lifelong learning,2008-09-17 13:01:12.303
693,Theoretical aspect of education from the perspective of gender - Empirical findings on specific forms of learning and interaction,2008-09-17 13:04:17.154
697,Socio-economic conditions of lifelong learning and explanations from the perspective of modernization theory,2008-09-17 13:05:48.753
698,Integrative quality management between institutional and personal aspects,2008-09-17 13:06:47.245
699,Historical and empirical findings on programme  and institutional developments,2008-09-17 13:08:07.422
701,Introduction to the studying area of German,2008-09-17 13:19:47.920
705,Writing: Writing texts and orthography in their relation to each other,2008-09-17 13:25:21.321
708,Numbers and arithmetic calculation: For the development of the number \t\tconcept in preschool and primary school age,2008-09-17 13:26:18.949
713,Measurement: The development of method competence,2008-09-17 13:28:14.350
716,Introduction of the area of local social studies/elementary science,2008-09-17 13:29:31.880
721,Evaluation seminar of school practical studies,2008-09-17 13:31:15.373
722,Evaluation seminar of school practical studies,2008-09-17 13:31:30.561
726,Colloquium of the elementary school education: Talent in the primary \t\tschool age,2008-09-17 13:32:44.495
730,German as a second language,2008-09-17 13:34:27.396
731,(Main) Seminar,2008-09-17 13:35:07.565
734,Constructivism as a paradigm for teaching and learning,2008-09-17 13:39:00.686
737,Empiricial research toward school and instruction,2008-09-17 13:55:11.373
739,Educational action and places to learn. How do teacher deal with central demands of their profes-sion? Preparing the first practical training in schools,2008-09-17 14:02:16.270
110,Modul 5: History of German I,2008-04-15 11:59:52.960
111,Modul 5: History of German I,2008-04-15 11:59:52.106
112,Modul 7: Linguistic Variation and Language Change,2008-04-15 11:59:52.114
113,Modul 7: Linguistic Variation and Language Change,2008-04-15 11:59:52.123
120,Modul 9: Branches of Indo-European II,2008-04-15 12:04:19.673
122,Modul 11: Practical skills,2008-04-15 12:04:19.690
19071,Revision course Old Testament,2017-11-02 14:00:26.691
124,Modul 12: Branches of Indo-European I,2008-04-15 12:04:19.708
19072,New Perspectives in the Research of the Old Testament,2017-11-02 14:03:46.338
126,Modul 14: Topics in Indo-European Linguistics,2008-04-15 12:04:19.724
19647,Introduction to the Syriac and Akkadian (GS/HS),2018-01-08 11:42:08.150
128,Modul 15: Language and its Theory,2008-04-15 12:04:19.741
683,"Educational Measurement, Feedback and Evaluation",2008-09-17 12:56:48.184
700,Forms of networking within programm planning processes in institutions of adult education,2008-09-17 13:08:30.119
707,Experienced discovering mathematics: Mathematics experienced as a \t\tscience of  samples/patterns,2008-09-17 13:26:00.628
710,Problem solving tasks: To solve word problem tasks in Primary school,2008-09-17 13:27:23.456
732,Examination seminar,2008-09-17 13:36:13.687
736,Motivation and promotion of motivation in school,2008-09-17 13:40:03.958
680,Educational Statistics II,2008-09-17 12:54:46.392
689,Learning interests and participation in life course,2008-09-17 13:00:44.428
695,The interaction of cognition and emotion within processes of education,2008-09-17 13:05:03.504
704,Writing: writing texts and orthography as a complex performance,2008-09-17 13:25:02.685
711,"Problem solving tasks: Tasks, problems, contexts; conceptions for the \t\tfactual arithmetic in Primary school",2008-09-17 13:27:38.730
714,World knowledge of the children/development in select studying texts \t\tand life situations,2008-09-17 13:28:48.138
724,Colloquium of the elementary school education: Common lessons for \t\tchildren with and without handicap (integration),2008-09-17 13:32:10.555
727,Colloquium of the studying area of mathematics: Identify and promote \t\tmathematically talented primary school children,2008-09-17 13:33:02.518
729,Integrated local social lessons/elementary science : Dealing with \t\t\theterogeneity,2008-09-17 13:34:04.341
679,Introductory Course: Internationally Comparative Research in Education,2008-09-17 12:53:18.411
681,Introduction to Educational Diagnostics,2008-09-17 12:56:05.705
682,"Educational Measurement, Feedback and Evaluation",2008-09-17 12:56:32.255
694,Theoretical approaches to transformational processes of education,2008-09-17 13:04:38.248
702,Written language acquisition in the first lessons,2008-09-17 13:24:19.748
706,Experienced discovering mathematics: How children calculate,2008-09-17 13:25:45.481
709,Numbers and arithmetic calculation,2008-09-17 13:26:43.314
719,Acquisition of scientific and technical decision-making competence in \t\tthe local social studies/elementary science II: On the track of \t\t\tphenomena,2008-09-17 13:30:33.788
723,Seminar for the preparation for the internship in the primary school,2008-09-17 13:31:54.720
725,Colloquium of the studying area of German,2008-09-17 13:32:27.113
728,Colloquium of the studying area of local social lesson/elementary \t\t\tscience,2008-09-17 13:33:21.101
733,Learning motivation and counseling,2008-09-17 13:38:14.484
738,Educational action and places to learn. With Empathy and competence toward a professional teacher. Preparing the first practical training in schools,2008-09-17 14:01:22.139
740,School and Interculturality,2008-09-17 14:15:45.852
603,Discussion of actual research on diploma and doctoral theses,2008-07-23 13:12:27.127
604,Developments and changes in health-care policies for the elderly,2008-07-23 13:12:52.816
605,Society and Disability,2008-07-23 13:14:38.189
606,Family Law,2008-07-23 13:15:08.728
607,How helpful is assistance? - social psychiatry today,2008-07-23 13:15:43.291
608,Supervising course for on-the-job-training (diploma-students),2008-07-23 13:16:11.640
609,European Procedural Law,2008-07-24 10:06:23.814
610,Seminar on Language Change,2008-07-24 11:58:52.175
611,Colloquium Corpus Linguistics,2008-07-24 11:59:51.949
612,German as a Foreign Language,2008-07-24 12:02:24.979
614,German Grammar,2008-07-24 12:03:32.965
615,Linguistics,2008-07-24 12:03:34.359
616,An Introduction to Historical Grammar of German Language,2008-07-24 12:04:02.307
617,Introduction to Old German Language,2008-07-24 12:04:03.273
618,Tutorial  (Basic level),2008-07-24 12:04:04.182
621,Special problems of German grammar,2008-07-24 12:09:19.267
622,Principles of teaching German as a foreign language,2008-07-24 12:09:19.819
623,Teaching of Grammar in German as a Foreign Language,2008-07-24 12:10:24.748
624,Teaching phonetics  a theoretical and practical approach,2008-07-24 12:10:25.378
625,German as  a foreign language in theory and practice (including a practical training at a language school and in a library),2008-07-24 12:10:26.699
626,Antidiscrimination Law,2008-07-28 12:41:06.140
627,Research Colloquium,2008-07-28 12:47:13.119
628,Law of Administrative Regulation,2008-07-30 08:16:14.514
629,Fundamental rights in the case law of the Russian Constitutional Court,2008-07-30 08:17:21.675
630,civil procedure,2008-08-11 14:07:37.485
631,A Introduction,2008-08-12 13:23:17.351
632,BA Social Sciences (Minor Field),2008-08-12 13:23:17.465
633,Diploma Social Sciences,2008-08-12 13:23:17.695
634,Magister Sociology (Minor Field),2008-08-12 13:23:18.109
635,MA Social Sciences (StPO 2006),2008-08-12 13:23:18.404
636,MA Social Sciences (StPO 2003),2008-08-12 13:23:19.593
637,Institute of Social Sciences,2008-08-12 13:23:20.700
114,Modul 8: Levels of Grammar and Diachronic Change,2008-04-15 12:02:23.997
116,Modul 9: Branches of Indo-European II,2008-04-15 12:02:24.150
118,Modul 11: Practical skills,2008-04-15 12:02:24.350
45,Linguistics,2008-04-15 13:13:44.294
638,BA Social Sciences (Subsidiary Field),2008-08-12 13:23:20.780
132,Pragmatics,2008-04-15 13:17:14.137
140,Middle High German,2008-04-15 13:55:05.690
639,Research Colloquium Doctoral Candidates,2008-08-12 13:23:20.510
145,Lexical entries as a text type,2008-04-15 15:31:24.813
147,Dimensions of grammatical variation,2008-04-15 15:32:52.561
640,BA Social Sciences (Major Field),2008-08-12 13:23:23.529
148,Parallel Corpora,2008-04-15 15:33:39.987
641,C Methods,2008-08-12 13:23:23.884
151,Syntactic Movement,2008-04-15 15:40:19.957
141,An Overview of the History of German Language,2008-04-16 11:07:13.217
642,Magister Political Science (Minor Field),2008-08-12 13:23:24.623
131,Tutorial  (Basic level),2008-04-16 11:34:45.748
