"class_name","class_type","hyperlink","freigabe","belegpflicht","lang","start_date","end_date","max_part","start_time","end_time","week_day","rhythm","parallel","lecturer","room","floor","address","building","facility"
Growing Regional Connections and Divisions: BRI in China and Central Asia,Studienprojekt,,,,deutsch-englisch,2022-04-22,2022-07-01,,"09:00","16:00",Freitag,"14tgl.","14tgl.",Manja Stephan-Emmrich,Seminarraum 301,"2. OG                    ",Johannisstraße 10                                 ,Institutsgebäude,Technische Abteilung (V)
Statistik I,Übung,https://moodle.hu-berlin.de/course/view.php?id=90845#section-2,N,,deutsch,2022-04-22,,,"14:00","16:00",Freitag,wöchentlich,wöchentlich,,Hörsaal 2097,"1. OG                    ",Unter den Linden 6                                ,Universitäts-Hauptgebäude,Technische Abteilung (V)
Lineare Algebra und Analytische Geometrie II (ÜWP),Vorlesung,,N,,deutsch,,,,"13:00","15:00",Mittwoch,wöchentlich,wöchentlich,Stephan Schmidt,Hörsaal 0115,EG                       ,Rudower Chaussee 26                               ,Erwin Schrödinger-Zentrum /Modul 1,Technische Abteilung (V)
Sprache im Unterricht: Gestión de clase,Übung,,N,,spanisch,,,,"10:00","12:00",Montag,wöchentlich,wöchentlich,Teresa Delgado,Dolmetscheranlage 459,"4. OG                    ",Dorotheenstraße 65                                ,Boeckh-Haus,"Sprach- und literaturwissenschaftliche Fakultät, Institut für Romanistik"
Das Wort,Seminar,,J,,deutsch,,,,"14:00","16:00",Montag,wöchentlich,wöchentlich,Jana Brunner,Seminarraum 1.102,"1. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
Analysis II*,Vorlesung,,N,,deutsch,,,,"13:00","15:00",Donnerstag,wöchentlich,wöchentlich,Barbara Zwicknagl,Hörsaal 0115,EG                       ,Rudower Chaussee 26                               ,Erwin Schrödinger-Zentrum /Modul 1,Technische Abteilung (V)
Réflexions métalinguistiques,Übung,,N,,französisch,,,,"08:00","10:00",Dienstag,wöchentlich,wöchentlich,Martine Geffroy,Sprachlabor 445,"4. OG                    ",Dorotheenstraße 65                                ,Boeckh-Haus,"Sprach- und literaturwissenschaftliche Fakultät, Institut für Romanistik"
Lineare Algebra und Analytische Geometrie II (ÜWP),Übung,,N,,deutsch,,,,"11:00","13:00",Dienstag,wöchentlich,wöchentlich,,Seminarraum 30 3.007,EG                       ,Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
Soziolinguistische Methoden,Seminar,,N,,deutsch,,,,"12:00","14:00",Donnerstag,wöchentlich,wöchentlich,Heike Wiese,Seminarraum 1.401,"4. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
Modul 23: PÜ Basiskompetenzen klinische-psychologischer Interventionen,Praxisorientierte Lehrveranstaltung,,J,,deutsch,2022-04-20,2022-07-20,,"11:00","13:00",Mittwoch,wöchentlich,wöchentlich,Jennifer Kirchner,Gruppentherapieraum 0.234,EG                       ,Rudower Chaussee 18                               ,Wolfgang-Köhler-Haus,"Lebenswissenschaftliche Fakultät, Institut für Psychologie, Klinische Psychologie, Hochschulambulanz"
Einführung in die Geschichte/LA an Grundschulen,Seminar,,J,,deutsch,2022-04-19,,,"10:00","12:00",Dienstag,wöchentlich,wöchentlich,Sabine Hillebrecht,Seminarraum 5009,"5. OG                    ",Friedrichstraße 191                               ,Institutsgebäude,Technische Abteilung (V)
Theorien und Methoden: Literaturwissenschaft,Übung,,N,,deutsch,,,,"16:00","18:00",Montag,wöchentlich,wöchentlich,Marie-Theres Federhofer,Seminarraum 3.134,"1. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
Contrastive Language Analysis: Translation Practice,Übung,,N,,englisch,2022-04-19,2022-07-19,,"14:00","16:00",Dienstag,wöchentlich,wöchentlich,Eimear Kelly,Sprachlabor 325,"3. OG                    ",Dorotheenstraße 65                                ,Boeckh-Haus,Zentraleinrichtung Sprachenzentrum
Lektüreübung,Übung,,N,,englisch,2022-04-28,2022-07-19,,"12:00","14:00",Donnerstag,"14tgl./2","14tgl./2",,Seminarraum 2004A,"1. OG                    ",Unter den Linden 6                                ,Universitäts-Hauptgebäude,Technische Abteilung (V)
Sociolinguistics,Seminar,,N,,englisch,2022-04-25,2022-07-18,,"10:00","12:00",Montag,wöchentlich,wöchentlich,Mingya Liu,Hörsaal 1072,EG                       ,Unter den Linden 6                                ,Universitäts-Hauptgebäude,Technische Abteilung (V)
Textlektüre A2/B1,Übung,,N,,rumänisch,,,,"12:00","14:00",Dienstag,wöchentlich,wöchentlich,Valeriu Stancu,Büro 458,"4. OG                    ",Dorotheenstraße 65                                ,Boeckh-Haus,"Sprach- und literaturwissenschaftliche Fakultät, Dekan(in) / Prodekan(in) Dekanat, Dekan(in), Geschäftsführung"
Proseminare Mittelalterliche Geschichte,Proseminar,,N,,deutsch,2022-04-25,,,"12:00","14:00",Montag,wöchentlich,wöchentlich,Thomas Woelki,Seminarraum 4031,"4. OG                    ",Friedrichstraße 191                               ,Institutsgebäude,Technische Abteilung (V)
FS Algebraische Zahlentheorie,Forschungsseminar,,N,,deutsch,,,,"11:00","13:00",Mittwoch,wöchentlich,wöchentlich,Elmar Große-Klönne,Seminarraum 20 2.006,EG                       ,Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
Ausgewählte Themen der Stochastik (M27): Branching processes (ÜWP),Vorlesung,,N,,englisch,,,,"13:00","15:00",Montag,wöchentlich,wöchentlich,Wei Xu,Seminarraum 20 3.008,EG                       ,Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
Finanzierung und Investition,Übung,,N,,deutsch,2022-04-21,,,"16:00","18:00",Donnerstag,wöchentlich,wöchentlich,Jakob Conradi,Seminarraum 125,"1. OG                    ",Spandauer Straße 1                                ,Institutsgebäude,Technische Abteilung (V)
Syntax für Lehramtsstudierende,Vorlesung,,N,,deutsch,,,,"12:00","14:00",Freitag,wöchentlich,wöchentlich,Marc Felfe,Hörsaal 1.101,"1. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
CM06 / Modul 9: VS Interaktive Systeme: Interventionen zur Förderung von Gesundheit im Arbeitskontext,Vertiefungsseminar,https://moodle.hu-berlin.de/course/view.php?id=110257,J,,deutsch,2022-04-21,2022-07-21,,"09:00","11:00",Donnerstag,wöchentlich,wöchentlich,Annekatrin Hoppe,Seminarraum 3.201,"3. OG                    ",Rudower Chaussee 18                               ,Wolfgang-Köhler-Haus,Technische Abteilung (V)
Ausgewählte Kapitel der Mathematik (M40): Topics in Geometric Analysis - Introduction to the Ricci Flow (ÜWP),Vorlesung,,N,,englisch,,,,"11:00","13:00",Dienstag,wöchentlich,wöchentlich,Shubham Dwivedi,Seminarraum 20 1.012,EG                       ,Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
