"class_name","class_type","hyperlink","freigabe","belegpflicht","lang","start_date","end_date","max_part","start_time","end_time","week_day","rhythm","parallel","lecturer","room","floor","address","building","facility"
Statistik II,Vorlesung,,J,,deutsch,,,,"12:00","14:00",Montag,wöchentlich,wöchentlich,Maik Hamjediers,Hörsaal 1 207,"2. OG                    ",Dorotheenstraße 26                                ,Institutsgebäude,Technische Abteilung (V)
"Lektüreseminar (""Ausgewählte Epochen"")",Seminar,,N,,englisch,2022-04-21,2022-07-21,,"10:00","12:00",Donnerstag,"14tgl.","14tgl.",,Seminarraum (ehem. 0109) 0007,EG                       ,Hausvogteiplatz 5-7                               ,Institutsgebäude,Technische Abteilung (V)
Algebra/Zahlentheorie und ihre Didaktik (did. Teil),Übung,,N,,deutsch,,,,"13:00","15:00",Mittwoch,"14tgl./2","14tgl./2",Thorsten Rohwedder,Seminarraum 20 1.012,EG                       ,Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
Arabisch IV,Sprachkurs,https://moodle.hu-berlin.de/course/view.php?id=110492,N,,deutsch,2022-04-21,2022-07-21,,"12:00","14:00",Donnerstag,wöchentlich,wöchentlich,Somar Almir Mahmoud,Seminarraum 1.03,EG                       ,Hannoversche Straße 6                             ,Fritz Strassmann-Haus,Technische Abteilung (V)
Praxiscolloquium BZQ,Colloquium,,N,,deutsch,2022-07-08,2022-07-08,,"14:00","19:00",Freitag,Einzeltermin,Einzeltermin,Sebastian Bohm,Seminarraum 3 0.03,EG                       ,Hannoversche Straße 27                            ,Haus 25 / Bürogebäude,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Institut für Sportwissenschaft"
Praktische Geoinformationsverarbeitung und Kartographie,Seminar/Übung,,N,,deutsch,2022-06-02,2022-07-14,,"13:00","17:00",Donnerstag,wöchentlich,wöchentlich,Mohamed Ali Mohamed,Seminarraum 1.231,"1. OG                    ",Rudower Chaussee 16                               ,Alfred-Rühl-Haus,Technische Abteilung (V)
The London Flaneur,Seminar,,N,,englisch,2022-04-21,2022-07-21,,"14:00","16:00",Donnerstag,wöchentlich,wöchentlich,Jennifer Wawrzinek,Hörsaal 3075,"2. OG                    ",Unter den Linden 6                                ,Universitäts-Hauptgebäude,Technische Abteilung (V)
Comprensión de lectura/Expresión escrita (Kurs 3/4),Übung,,N,,spanisch,,,,"10:00","12:00",Mittwoch,wöchentlich,wöchentlich,Maria Teresa Prieto Alonso,Seminarraum 1.608,"6. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
English Historical Linguistics and Dialectology,Seminar,,N,,englisch,2022-04-19,2022-07-19,,"16:00","18:00",Dienstag,wöchentlich,wöchentlich,Andrew McIntyre,Hörsaal (Weierstraß) 3038/035,"2. OG                    ",Unter den Linden 6                                ,Universitäts-Hauptgebäude,Technische Abteilung (V)
Seminar Inequalities,Seminar,,N,,deutsch,,,,"09:00","11:00",Freitag,wöchentlich,wöchentlich,Carsten Carstensen,Seminarraum 30 1.114,"1. OG                    ",Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
ÜWP Erziehungswissenschaft des Sports - Übung zur Einführungsvorlesung Sportpädagogik (Modul B2),Übung,,J,,deutsch,2022-04-20,2022-07-20,,"14:00","16:00",Mittwoch,wöchentlich,wöchentlich,Kathrin Fahn,Hörsaal 5 1.26,"1. OG                    ",Philippstraße 13                                  ,Haus 11 / Institutsgebäude,Technische Abteilung (V)
Einführung in die historische Grammatik des Deutschen,Seminar,,N,,deutsch,,,,"08:00","10:00",Mittwoch,wöchentlich,wöchentlich,Eva Meier,Seminarraum 1.102,"1. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
Schwedisch 2,Sprachkurs,,N,,schwedisch,,,,"12:00","14:00",Donnerstag,wöchentlich,wöchentlich,Håkan Fink,Besprechungsraum 3.231,"2. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,"Sprach- und literaturwissenschaftliche Fakultät, Nordeuropa-Institut"
Analysis II* (ÜWP),Übung,,N,,deutsch,,,,"11:00","13:00",Donnerstag,wöchentlich,wöchentlich,,Seminarraum 30 1.011,EG                       ,Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
"Tutorium ""Der Satz""",Tutorium,,J,,deutsch,,,,"18:00","20:00",Mittwoch,wöchentlich,wöchentlich,Katja Timmerberg,Seminarraum 1.102,"1. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
Rechtschreibunterricht (praxisorientiert),Seminar,,N,,deutsch,,,,"14:00","16:00",Mittwoch,wöchentlich,wöchentlich,Beate Lütke,Seminarraum 2093,"1. OG                    ",Unter den Linden 6                                ,Universitäts-Hauptgebäude,Technische Abteilung (V)
Consecutive Interpreting II,Praxisorientierte Lehrveranstaltung,,N,,englisch,2022-07-09,2022-07-09,,"09:30","17:30",Samstag,Einzeltermin,Einzeltermin,Anna-Katharina Johannsen,Seminarraum 1.501,"5. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
&#8222;Tatort Belpaese&#8220;: italienische Kriminalromane und deren Autoren (2000-2020),Seminar,,N,,deutsch,,,,"12:00","14:00",Freitag,wöchentlich,wöchentlich,Roberto Ubbidiente,Sprachlabor 461,"4. OG                    ",Dorotheenstraße 65                                ,Boeckh-Haus,"Sprach- und literaturwissenschaftliche Fakultät, Institut für Romanistik"
Periodos olvidados en la historia de las lenguas iberorrománicas: un acercamiento filológico-lingüístico,Seminar,,N,,spanisch,,,,"12:00","14:00",Donnerstag,wöchentlich,wöchentlich,Miriam Bouzouita,Seminarraum 1.403,"4. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
Probleme der Erforschung des Urchristentums,Colloquium,,N,,deutsch,,,,"10:00","12:00",Freitag,Einzeltermin,Einzeltermin,Cilliers Breytenbach,Seminarraum 330,"3. OG                    ",Burgstraße 26                                     ,Institutsgebäude,Technische Abteilung (V)
Algebra/Zahlentheorie und ihre Didaktik,Vorlesung,,N,,deutsch,,,,"11:00","13:00",Montag,wöchentlich,wöchentlich,Scott Mullane,Hörsaal 100 1.013,EG                       ,Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
Norwegisch 2,Sprachkurs,,N,,deutsch,,,,"10:00","12:00",Freitag,wöchentlich,wöchentlich,Jana Eder,Seminarraum 3.101,"1. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
Kolloquium Syntax und Semantik,Kolloquium,,N,,deutsch,,,,"16:00","18:00",Dienstag,wöchentlich,wöchentlich,Stefan Müller,Seminarraum 1.401,"4. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
Kolloquium Syntax und Semantik,Kolloquium,,N,,deutsch,,,,"16:00","18:00",Dienstag,wöchentlich,wöchentlich,Elisabeth Verhoeven,Seminarraum 1.401,"4. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
Prüfungssimulation Strafrecht,Repetitorium,https://moodle.hu-berlin.de/course/view.php?id=110454,N,,deutsch,2022-07-13,2022-07-13,,"12:30","14:00",Mittwoch,Einzeltermin,Einzeltermin,Luís Greco,Seminarraum 210,"2. OG                    ",Unter den Linden 9                                ,Altes Palais,Technische Abteilung (V)
Stochastik I,Übung,,N,,deutsch,,,,"13:00","15:00",Mittwoch,wöchentlich,wöchentlich,,Seminarraum 30 3.006,EG                       ,Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
"Individuelle Bewegungsformen - Laufen, Springen, Werfen",Vorlesung,,N,,deutsch,2022-04-25,2022-07-18,,"14:45","15:30",Montag,wöchentlich,wöchentlich,Maria Moreno Catala,Hörsaal 5 1.26,"1. OG                    ",Philippstraße 13                                  ,Haus 11 / Institutsgebäude,Technische Abteilung (V)
Aspekte fachbezogener Sprachbildung,Seminar,,J,,deutsch,2022-04-20,2022-07-23,,"14:00","16:00",Mittwoch,wöchentlich,wöchentlich,Maria Große,Seminarraum 0202,"2. OG                    ",Hausvogteiplatz 5-7                               ,Institutsgebäude,Zentralinstitut Professional School of Education
Sozialstruktur und Diversität,Grundkurs,,N,,deutsch,,,,"16:00","18:00",Mittwoch,wöchentlich,wöchentlich,Sebastian Juhnke,Seminarraum 003,EG                       ,Universitätsstraße 3b                             ,Institutsgebäude,Technische Abteilung (V)
Politiktheoretische Terminologie. Einführung in die Politische Theorie und Ideengeschichte,Grundkurs,,N,,deutsch,,,,"12:00","14:00",Montag,wöchentlich,wöchentlich,Ieva Motuzaite,Seminarraum 002,EG                       ,Universitätsstraße 3b                             ,Institutsgebäude,Technische Abteilung (V)
Sociology of Architecture (ÜWP),Seminar,,N,,englisch,2022-05-05,2022-06-14,,"10:00","14:00",Donnerstag,"14tgl.","14tgl.",Johannes Coughlan,Hörsaal 1 207,"2. OG                    ",Dorotheenstraße 26                                ,Institutsgebäude,Technische Abteilung (V)
DMS1_Bewegen an und mit Geräten,Integrierter Theorie- und Praxiskurs,,N,,deutsch,2022-04-19,2022-07-19,,"15:45","17:15",Dienstag,wöchentlich,wöchentlich,Gunnar Laube,Dreifelderhalle 1.02A,"1. OG                    ",Hannoversche Straße 27                            ,Haus 26 / Sportforschungshalle,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Institut für Sportwissenschaft"
Seminare zu: Sprache im Wandel,Seminar,,J,,deutsch,,,,"10:00","12:00",Montag,wöchentlich,wöchentlich,Oliver Bunk,Seminarraum 1.401,"4. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
DMS1_Bewegen an und mit Geräten,Integrierter Theorie- und Praxiskurs,,N,,deutsch,2022-04-20,2022-07-20,,"09:30","11:00",Mittwoch,wöchentlich,wöchentlich,Gunnar Laube,Dreifelderhalle 1.02A,"1. OG                    ",Hannoversche Straße 27                            ,Haus 26 / Sportforschungshalle,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Institut für Sportwissenschaft"
Grammatica,Übung,,N,,italienisch,,,,"08:00","10:00",Montag,wöchentlich,wöchentlich,Giuseppe Loviglio,Sprachlabor 445,"4. OG                    ",Dorotheenstraße 65                                ,Boeckh-Haus,"Sprach- und literaturwissenschaftliche Fakultät, Institut für Romanistik"
"Lektüreseminar (""Ausgewählte Epochen"")",Seminar,,N,,englisch,2022-04-20,2022-07-20,,"16:00","18:00",Mittwoch,"14tgl.","14tgl.",Eva Boesenberg,Seminarraum 1.501,"5. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
Angewandte Mathematik II (Theorie-Übung),Übung,,N,,deutsch,,,,"13:00","15:00",Freitag,"14tgl.","14tgl.",Caren Tischendorf,PC-Pool 2.207,"02                       ",Rudower Chaussee 25                               ,Johann von Neumann-Haus,"Mathematisch-Naturwissenschaftliche Fakultät, Institut für Mathematik"
Landeskundlich orientierte Sprachpraxis B1,Übung,,N,,rumänisch,,,,"18:00","20:00",Donnerstag,wöchentlich,wöchentlich,Ingrid Baltag,Sprachlabor 445,"4. OG                    ",Dorotheenstraße 65                                ,Boeckh-Haus,"Sprach- und literaturwissenschaftliche Fakultät, Institut für Romanistik"
Grundlagen der Numerischen Mathematik und Optimierung,Übung,,N,,deutsch,,,,"15:00","17:00",Montag,wöchentlich,wöchentlich,,Seminarraum 30 3.006,EG                       ,Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
Acquisition of L2 pronunciation,Seminar,,N,,englisch,,,,"14:00","16:00",Montag,wöchentlich,wöchentlich,Sarah Wesolek,Seminarraum 0.01,EG                       ,Sophienstraße 22-22a                              ,Institutsgebäude,Technische Abteilung (V)
Acquisition of L2 pronunciation,Seminar,,N,,englisch,,,,"14:00","16:00",Montag,wöchentlich,wöchentlich,Phil Howson,Seminarraum 0.01,EG                       ,Sophienstraße 22-22a                              ,Institutsgebäude,Technische Abteilung (V)
Einblicke in die skandinavische Literaturgeschichte,Vorlesung/Seminar,,N,,deutsch,,,,"12:00","14:00",Montag,wöchentlich,wöchentlich,Stefanie Schnurbein,Hörsaal 1.101,"1. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
DMS4_Gesundheit,Integrierter Theorie- und Praxiskurs,,N,,deutsch,2022-04-25,2022-07-18,,"10:15","11:45",Montag,wöchentlich,wöchentlich,Christian Trümper,Dreifelderhalle 1.02C,"1. OG                    ",Hannoversche Straße 27                            ,Haus 26 / Sportforschungshalle,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Institut für Sportwissenschaft"
Masterkolloquium,Colloquium,,N,,englisch,2022-04-20,2022-07-20,,"16:00","18:00",Mittwoch,wöchentlich,wöchentlich,Tomás Kos,Übungsraum 0122-23,"1. OG                    ",Hausvogteiplatz 5-7                               ,Institutsgebäude,"Sprach- und literaturwissenschaftliche Fakultät, Institut für Anglistik und Amerikanistik"
Algebra/Zahlentheorie und ihre Didaktik (did. Teil),Vorlesung,,N,,deutsch,,,,"13:00","15:00",Mittwoch,"14tgl./1","14tgl./1",Thorsten Rohwedder,Hörsaal 0110,EG                       ,Rudower Chaussee 26                               ,Erwin Schrödinger-Zentrum /Modul 1,Technische Abteilung (V)
"Kolloquium Mehrsprachigkeit, Sprachkontakt, Sprachvariation",Kolloquium,,N,,deutsch,,,,"16:00","18:00",Donnerstag,wöchentlich,wöchentlich,Heike Wiese,Seminarraum 3.103,"1. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
Comprensione e produzione scritta,Übung,,N,,italienisch,,,,"10:00","12:00",Montag,wöchentlich,wöchentlich,Giuseppe Loviglio,Sprachlabor 434,"4. OG                    ",Dorotheenstraße 65                                ,Boeckh-Haus,"Sprach- und literaturwissenschaftliche Fakultät, Institut für Romanistik"
Modul 07: VL Entwicklungspsychologie der Lebensspanne,Vorlesung,,J,,deutsch,2022-04-22,2022-07-22,,"09:00","11:00",Freitag,wöchentlich,wöchentlich,Denis Gerstorf,Hörsaal 3.001,EG                       ,Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
"Religious Experience: Philosophy, Psychology and Anthropology (HS - H 572, MRC- )",Seminar,,N,,englisch,2022-04-19,,,"14:00","16:00",Dienstag,wöchentlich,wöchentlich,Tsvi Blanchard,Seminarraum 108,"1. OG                    ",Burgstraße 26                                     ,Institutsgebäude,Technische Abteilung (V)
Einführung in die Sprachen und Schriften Ostasiens,Seminar,,,,deutsch,2022-04-25,2022-07-18,,"14:00","16:00",Montag,wöchentlich,wöchentlich,,Seminarraum 301,"2. OG                    ",Johannisstraße 10                                 ,Institutsgebäude,Technische Abteilung (V)
Modul 2: VL Methodenlehre II,Vorlesung,https://moodle.hu-berlin.de/course/view.php?id=110242,J,,deutsch,2022-04-25,2022-07-18,,"13:00","15:00",Montag,wöchentlich,wöchentlich,Manuel Völkle,Hörsaal 0110,EG                       ,Rudower Chaussee 26                               ,Erwin Schrödinger-Zentrum /Modul 1,Technische Abteilung (V)
Culture and Context: Topics in American History,Seminar,,N,,englisch,2022-04-25,2022-07-18,,"14:00","16:00",Montag,wöchentlich,wöchentlich,Evangelia Kindinger,Seminarraum 1.601,"6. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
Empfindsamkeit in der skandinavischen Literatur,Seminar,,N,,deutsch,2022-07-16,2022-07-16,,"12:00","14:00",Samstag,Einzeltermin,Einzeltermin,Otto Fischer,Besprechungsraum 3.231,"2. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,"Sprach- und literaturwissenschaftliche Fakultät, Nordeuropa-Institut"
Isländisch 2,Sprachkurs,,N,,deutsch,,,,"12:00","14:00",Freitag,wöchentlich,wöchentlich,Laufey Guðnadóttir,Seminarraum 3.101,"1. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
Modul 11: Persönlichkeitspsychologie,Seminar,,J,,deutsch,2022-04-19,2022-07-19,,"13:00","15:00",Dienstag,wöchentlich,wöchentlich,Ronja Demel,Seminarraum 3.201,"3. OG                    ",Rudower Chaussee 18                               ,Wolfgang-Köhler-Haus,Technische Abteilung (V)
Angewandte Mathematik I,Vorlesung,,N,,deutsch,,,,"09:00","11:00",Donnerstag,"14tgl.","14tgl.",Benjamin Jurgelucks,Hörsaal 0311,EG                       ,Rudower Chaussee 26                               ,Erwin Schrödinger-Zentrum /Modul 1,Technische Abteilung (V)
Biochemical aspects of parasite biology,Vorlesung,https://moodle.hu-berlin.de/course/view.php?id=110781,J,,englisch,2022-04-25,2022-07-18,,"13:00","15:00",Montag,wöchentlich,wöchentlich,K. Matuschewski,Kurssaal 103A,EG                       ,Philippstraße 13                                  ,Haus 14 / Institutsgebäude Parasitologie,"Lebenswissenschaftliche Fakultät, Institut für Biologie, Molekulare Parasitologie II"
Biochemical aspects of parasite biology,Vorlesung,https://moodle.hu-berlin.de/course/view.php?id=110781,J,,englisch,2022-04-25,2022-07-18,,"13:00","15:00",Montag,wöchentlich,wöchentlich,Alyssa Ingmundson,Kurssaal 103A,EG                       ,Philippstraße 13                                  ,Haus 14 / Institutsgebäude Parasitologie,"Lebenswissenschaftliche Fakultät, Institut für Biologie, Molekulare Parasitologie II"
Sprachbildung im Fachunterricht der Grundschule,Seminar,,J,,deutsch,2022-04-20,2022-07-23,,"10:00","12:00",Mittwoch,wöchentlich,wöchentlich,Julia Podelo,Seminarraum 0404,"4. OG                    ",Hausvogteiplatz 5-7                               ,Institutsgebäude,Zentralinstitut Professional School of Education
Sprachbildung im Fachunterricht der Grundschule,Seminar,,J,,deutsch,2022-04-20,2022-07-23,,"10:00","12:00",Mittwoch,wöchentlich,wöchentlich,Monika Budde,Seminarraum 0404,"4. OG                    ",Hausvogteiplatz 5-7                               ,Institutsgebäude,Zentralinstitut Professional School of Education
Analysis II,Übung,,N,,deutsch,,,,"11:00","13:00",Montag,wöchentlich,wöchentlich,Olaf Müller,Seminarraum 30 3.007,EG                       ,Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
Lektüreübung,Übung,,N,,englisch,2022-04-28,2022-07-19,,"16:00","18:00",Donnerstag,"14tgl./2","14tgl./2",,Seminarraum 2004A,"1. OG                    ",Unter den Linden 6                                ,Universitäts-Hauptgebäude,Technische Abteilung (V)
Lektüreübung,Übung,,N,,englisch,2022-04-26,2022-07-19,,"12:00","14:00",Dienstag,"14tgl./2","14tgl./2",,Seminarraum 2004A,"1. OG                    ",Unter den Linden 6                                ,Universitäts-Hauptgebäude,Technische Abteilung (V)
CM12 (M.Sc.)/Modul 14 (B.Sc.): Forschungsmethoden und -analysen / Advanced methods and Analyses II - KO Methodenlehre (FoV24),Kolloquium,https://moodle.hu-berlin.de/course/view.php?id=110240,J,,deutsch,2022-04-21,2022-07-21,,"13:00","15:00",Donnerstag,wöchentlich,wöchentlich,Manuel Völkle,Besprechungsraum 3.106,"3. OG                    ",Rudower Chaussee 18                               ,Wolfgang-Köhler-Haus,"Lebenswissenschaftliche Fakultät, Institut für Psychologie"
Sprachbildung im Fachunterricht der Grundschule,Seminar,,J,,deutsch,2022-04-21,2022-07-23,,"16:00","18:00",Donnerstag,wöchentlich,wöchentlich,Alexander Lohse,Seminarraum 0404,"4. OG                    ",Hausvogteiplatz 5-7                               ,Institutsgebäude,Zentralinstitut Professional School of Education
Sprachbildung im Fachunterricht der Grundschule,Seminar,,J,,deutsch,2022-04-21,2022-07-23,,"16:00","18:00",Donnerstag,wöchentlich,wöchentlich,Monika Budde,Seminarraum 0404,"4. OG                    ",Hausvogteiplatz 5-7                               ,Institutsgebäude,Zentralinstitut Professional School of Education
Digitale Systeme - ÜWP,Vorlesung,,N,,deutsch,,,,"15:00","17:00",Dienstag,wöchentlich,wöchentlich,Siegmar Sommer,Hörsaal 0115,EG                       ,Rudower Chaussee 26                               ,Erwin Schrödinger-Zentrum /Modul 1,Technische Abteilung (V)
Bedeutungswandel,Seminar,,N,,deutsch,,,,"10:00","12:00",Dienstag,wöchentlich,wöchentlich,Richard Waltereit,Seminarraum 1.608,"6. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
Analisi e commento di testi letterari: Lectura Dantis (Purgatorio e Paradiso),Übung,,N,,italienisch,,,,"16:00","18:00",Donnerstag,wöchentlich,wöchentlich,Roberto Ubbidiente,Sprachlabor 434,"4. OG                    ",Dorotheenstraße 65                                ,Boeckh-Haus,"Sprach- und literaturwissenschaftliche Fakultät, Institut für Romanistik"
Modul 14: Biomedizinische Grundlagen der klinischen Psychologie (WPM IX) - Biomedizinische Grundlagen der Klinischen Psychologie & Psychotherapie,Integrierte Lehrveranstaltung (Vorlesung mit Seminar oder Übung),,J,,deutsch,2022-05-28,2022-05-28,,"09:00","17:00",Samstag,Einzeltermin,Einzeltermin,Thomas Riemer,Seminarraum 3.201,"3. OG                    ",Rudower Chaussee 18                               ,Wolfgang-Köhler-Haus,Technische Abteilung (V)
Empfindsamkeit in der skandinavischen Literatur,Seminar,,N,,deutsch,2022-07-23,2022-07-23,,"12:00","14:00",Samstag,Einzeltermin,Einzeltermin,Otto Fischer,Besprechungsraum 3.231,"2. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,"Sprach- und literaturwissenschaftliche Fakultät, Nordeuropa-Institut"
FS Angewandte Analysis,Forschungsseminar,,N,,deutsch,,,,"15:00","17:00",Montag,wöchentlich,wöchentlich,Irina Kmit,Seminarraum 30 1.114,"1. OG                    ",Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
FS Angewandte Analysis,Forschungsseminar,,N,,deutsch,,,,"15:00","17:00",Montag,wöchentlich,wöchentlich,Barbara Zwicknagl,Seminarraum 30 1.114,"1. OG                    ",Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
Comprensión auditiva / Expresión oral (Kurs 2/4),Übung,,N,,spanisch,,,,"12:00","14:00",Donnerstag,wöchentlich,wöchentlich,Anna Guaita Crespo,Dolmetscheranlage 459,"4. OG                    ",Dorotheenstraße 65                                ,Boeckh-Haus,"Sprach- und literaturwissenschaftliche Fakultät, Institut für Romanistik"
Grammatik des Norwegischen,Übung,,N,,deutsch,,,,"12:00","14:00",Dienstag,wöchentlich,wöchentlich,Jana Eder,Seminarraum 3.101,"1. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
Éléments de communication scientifique (texte et discours),Übung,,N,,französisch,,,,"14:00","16:00",Mittwoch,wöchentlich,wöchentlich,Bernadette Desorbay,Sprachlabor 461,"4. OG                    ",Dorotheenstraße 65                                ,Boeckh-Haus,"Sprach- und literaturwissenschaftliche Fakultät, Institut für Romanistik"
Arithmetische Geometrie (M6) (ÜWP),Übung,,N,,englisch,,,,"13:00","15:00",Mittwoch,wöchentlich,wöchentlich,Elmar Große-Klönne,Seminarraum 20 3.011,EG                       ,Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
Oral Skills: Exploring Culture and Society in the USA,Übung,,N,,englisch,2022-04-19,2022-07-19,,"14:00","16:00",Dienstag,wöchentlich,wöchentlich,Audrey Fausser,PC-Pool 3001,"2. OG                    ",Unter den Linden 6                                ,Universitäts-Hauptgebäude,"Sprach- und literaturwissenschaftliche Fakultät, Institut für Anglistik und Amerikanistik"
Arabisch IV,Sprachkurs,https://moodle.hu-berlin.de/course/view.php?id=110492,N,,deutsch,2022-04-25,2022-07-18,,"14:00","16:00",Montag,wöchentlich,wöchentlich,Somar Almir Mahmoud,Seminarraum 1.03,EG                       ,Hannoversche Straße 6                             ,Fritz Strassmann-Haus,Technische Abteilung (V)
Produktion und Analyse fremdsprachiger Texte,Übung,,N,,italienisch,,,,"08:00","10:00",Mittwoch,wöchentlich,wöchentlich,Giuseppe Loviglio,Sprachlabor 461,"4. OG                    ",Dorotheenstraße 65                                ,Boeckh-Haus,"Sprach- und literaturwissenschaftliche Fakultät, Institut für Romanistik"
Landeskunde: Historias de España Gr. 2 (Kurs 4/4),Seminar,,N,,spanisch,,,,"12:00","14:00",Montag,wöchentlich,wöchentlich,Sela Bozal,Sprachlabor 434,"4. OG                    ",Dorotheenstraße 65                                ,Boeckh-Haus,"Sprach- und literaturwissenschaftliche Fakultät, Institut für Romanistik"
Ideengeschichtliche Ansätze zur Erforschung Islamischer Theologie am Beispiel der Mamlukenzeit (1250-1517),Seminar,https://moodle.hu-berlin.de/course/view.php?id=110478,N,,deutsch,2022-04-21,2022-07-21,,"08:00","10:00",Donnerstag,wöchentlich,wöchentlich,Mohammad Gharaibeh,Seminarraum 1.03,EG                       ,Hannoversche Straße 6                             ,Fritz Strassmann-Haus,Technische Abteilung (V)
Naturkulturen. Natur in Nordnorwegen und Sápmi,Seminar,,N,,deutsch,,,,"12:00","14:00",Montag,wöchentlich,wöchentlich,Marie-Theres Federhofer,Seminarraum 3.134,"1. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
CM12 (M.Sc.)/Modul 14 (B.Sc.): Forschungsmethoden und -analysen / Advanced methods and Analyses II - KO Entwicklungspsychologie (FoV28),Kolloquium,,J,,deutsch,2022-04-22,2022-07-22,,"15:00","17:00",Freitag,wöchentlich,wöchentlich,Denis Gerstorf,Besprechungsraum 3.106,"3. OG                    ",Rudower Chaussee 18                               ,Wolfgang-Köhler-Haus,"Lebenswissenschaftliche Fakultät, Institut für Psychologie"
Happily ever after. Erzählungen von Ehe zwischen Gefühl und Kalkül,Seminar,,N,,deutsch,,,,"10:00","12:00",Dienstag,wöchentlich,wöchentlich,Annika Nickenig,PC-Pool 560,"5. OG                    ",Dorotheenstraße 65                                ,Boeckh-Haus,"Sprach- und literaturwissenschaftliche Fakultät, Institut für Slawistik u.Hungarologie"
Grammatik des Schwedischen,Übung,,N,,deutsch,,,,"08:00","10:00",Dienstag,wöchentlich,wöchentlich,Tomas Milosch,Seminarraum 3.101,"1. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
Fictions of Addiction,Seminar,,J,,englisch,2022-04-20,2022-07-20,,"08:00","10:00",Mittwoch,wöchentlich,wöchentlich,Marlene Dirschauer,PC-Pool 3001,"2. OG                    ",Unter den Linden 6                                ,Universitäts-Hauptgebäude,"Sprach- und literaturwissenschaftliche Fakultät, Institut für Anglistik und Amerikanistik"
Analysis II* (ÜWP),Übung,,N,,deutsch,,,,"11:00","13:00",Freitag,wöchentlich,wöchentlich,,Seminarraum 30 1.114,"1. OG                    ",Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
Grundlagen der Fachdidaktik für die Grundschule,Seminar,,J,,deutsch,2022-04-21,2022-07-21,,"10:00","12:00",Donnerstag,wöchentlich,wöchentlich,Doreen Braun-Reymann,Büro 6,"1. OG                    ",Lehrter Straße 59                                 ,Ausbildungsgebäude,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Institut für Sportwissenschaft"
Vorbereitung des Berufsfelderschließenden Praktikums: Schulleben evaluieren,Seminar,,N,,deutsch,,,,"12:00","14:00",Donnerstag,wöchentlich,wöchentlich,Helen Krofta,Besprechungsraum 124,"1. OG                    ",Geschwister-Scholl-Straße 7                       ,Institutsgebäude,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Institut für Erziehungswissenschaften"
